id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1
ata-100065,-26.507967,11.652593,27.721945,11.561691,23.333036,18.3363,25.788202,-11.136784,-16.012962,-25.212793,29.439917,-5.304715,29.232067,11.739094,-23.743296,21.46511,-0.32777977,33.50991,-28.84194,-3.6224463,-11.483547,26.831419,-8.741702,31.073303,-24.177261,13.353229,-29.680275,-5.008665,15.739556,-22.829996,-0.27060273,-27.537407,4.7673087,-18.851799,-9.165806,17.547335,-14.813671,-0.53731394
ata-100132,-25.963469,10.879846,25.527252,12.885585,23.018547,20.802004,26.89909,-12.582019,-10.197366,-26.447084,28.252369,-9.862221,30.534101,13.063384,-24.2672,17.971785,2.1460373,32.112225,-28.689814,-4.3162723,-14.979262,26.852257,-9.652116,30.971666,-27.043983,13.092032,-29.835302,-3.4783497,16.207672,-23.259834,-0.6446501,-26.850449,8.320141,-23.66531,-5.5005555,10.775373,-16.665747,2.7382948
ata-100648,-25.87753,12.317283,26.696054,12.879262,24.420307,20.17954,26.442482,-10.593962,-13.669671,-25.812582,30.02709,-6.70032,29.067802,10.499599,-24.817545,21.680305,0.74154174,32.14088,-28.584772,-2.7907186,-11.471296,28.569252,-8.153169,29.295547,-27.264355,13.967139,-29.507204,-2.7997139,16.029957,-21.55371,-1.2850374,-26.845,12.287706,-26.424606,-14.532529,23.597399,-29.763273,-2.2491724
ata-100651,-25.568033,11.560136,26.525684,10.3785715,25.051912,17.624468,25.56099,-16.091154,-13.12311,-25.521198,29.10808,-7.6259184,29.18067,11.0843525,-22.253187,22.314537,-2.0832353,30.657858,-31.155088,-3.5765064,-13.784878,27.554308,-11.647685,28.775608,-26.460123,12.403695,-30.27664,-5.493085,15.679867,-23.727224,-1.9399248,-28.814701,11.020208,-25.723944,-16.699442,23.23426,-25.608227,-3.6214373
ata-100652,-24.506828,11.958058,25.838575,11.969855,24.469357,16.596691,25.787626,-14.293771,-13.010196,-26.465698,27.57983,-8.157743,31.587412,12.106492,-21.679056,21.444965,2.6933053,31.292908,-27.691334,-4.2958694,-14.069411,26.851166,-7.781363,30.974085,-23.806614,14.475071,-28.388584,-5.1075783,17.393518,-23.082657,-1.2281395,-28.742907,9.415267,-26.144514,-15.329774,23.165657,-29.470638,-3.1055622
ata-100695,-23.835327,14.452689,26.696508,9.659062,23.80534,17.517218,26.383818,-11.875673,-11.924267,-28.129522,27.83317,-10.736009,29.847624,9.237075,-21.879564,23.248531,-2.5204463,30.014856,-27.092607,-3.5538397,-13.770522,25.452496,-6.872424,30.375443,-26.871088,15.666817,1.7167425,4.1703568,14.376665,7.5908313,-18.82224,-0.10781896,13.7843685,6.6592703,14.236384,10.137756,2.6236804,5.1128187
ata-100762,-27.828814,10.266782,28.280066,9.367512,24.221825,18.364386,24.905088,-14.637783,-15.33556,-21.79857,28.99658,-8.410716,28.342693,11.358187,-21.036331,18.21124,1.5428474,32.798244,-26.99292,-6.77385,-11.29833,25.461538,-10.13238,29.727596,-24.85093,11.827688,-27.966381,-2.1487107,16.715984,-22.937914,-1.8369371,-28.169426,12.082455,-25.638313,-16.806479,22.643764,-2.4228148,1.9549383
ata-37653,-23.17136,13.807374,-0.16585605,-13.782885,-13.573582,5.394658,-13.974047,-10.823727,14.414778,-4.6174226,-7.1614933,-13.070331,4.412048,-15.690454,14.928005,8.252868,-15.626898,-5.0401287,7.7507463,-13.306256,17.133368,4.281298,-13.825081,-10.75043,-6.8831472,-15.5913315,-0.15492848,16.655771,9.811246,14.387686,-16.456947,6.570563,14.269221,12.3721485,19.213428,7.777286,5.8603735,20.941702
ata-37655,29.893867,12.157468,-12.052071,-28.693556,-32.92493,2.2116888,-35.265385,-8.106971,33.19198,3.7600896,-31.217594,-18.00261,-7.724366,-33.356266,36.191063,4.4302692,-26.314716,-23.436014,29.231438,-20.297678,34.661087,-4.944445,-16.958313,-32.29876,0.13946448,-34.26499,15.200455,29.08724,6.7230268,33.706623,-24.24714,23.914507,15.308483,30.948534,35.76305,1.5566818,23.957075,26.87444
ata-37673,25.967064,9.779487,-8.1449585,-24.374605,-26.677212,2.11216,-27.069696,-8.968044,27.514397,2.7896154,-22.866009,-15.795569,-5.041375,-28.171146,29.760975,4.587524,-22.684336,-17.395468,24.099268,-15.542115,29.144018,-3.1796298,-17.986113,-28.02978,-1.6902043,-26.984955,8.606324,24.150564,8.153156,26.290653,-18.954597,19.85355,11.112847,25.203352,28.823381,-0.47811624,17.912151,23.996105
