id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1
ata-100065,-18.08711,-0.2935491,-15.393489,-9.261758,-17.909231,-11.369032,-19.974985,-6.043855,19.036621,6.1542053,-15.027354,-11.729897,24.896818,-2.1727898,-11.1111145,-15.508813,-6.586051,-14.550367,7.7726746,15.705579,11.932775,11.136504,5.3413873,16.195547,-7.0726314,-17.255566,-3.729555,-14.110498,4.853055,11.317113,5.724577,11.777963,10.730389,6.040661,9.841716,-0.3318951,-2.8736253,5.057552
ata-100132,-18.02511,0.10799535,-15.636654,-9.4520645,-17.95353,-11.695561,-20.571695,-5.7563844,19.205257,5.7877774,-15.227099,-11.225852,24.656902,-2.5805805,-10.816596,-15.909073,-6.431481,-14.203943,7.9921846,15.930717,11.564614,11.319654,5.3337784,16.22128,-7.4196825,-17.3973,-3.518721,-14.06138,4.9253445,11.589095,5.7796583,11.861316,11.667183,5.964602,8.215131,0.7096309,-3.3934693,5.2287936
ata-100648,-18.836958,-0.13099618,-16.14284,-9.828807,-17.758741,-12.068959,-19.983324,-5.542509,19.170311,5.966699,-14.641895,-11.537661,25.034306,-2.5446777,-11.122379,-15.466568,-6.006734,-14.157399,7.9561677,15.802442,11.779223,11.440453,5.1925426,16.175953,-7.343271,-17.477129,-3.5447428,-14.266048,4.90534,11.563778,5.8684735,11.955465,13.393336,6.2867584,11.8046255,-1.9427587,-4.5537024,7.486643
ata-100651,-18.913286,-0.2809937,-15.318227,-9.388192,-17.760286,-12.023418,-20.174095,-5.286167,19.02048,5.7470117,-14.856706,-11.76916,24.814823,-2.3285408,-11.006612,-15.585781,-6.187877,-14.412013,8.314733,15.735319,11.772495,11.203305,5.047177,16.11951,-7.2152658,-17.466177,-3.8402593,-14.435955,5.0167756,11.416634,5.7243967,11.885501,13.427651,6.241924,12.066816,-1.9176854,-3.845445,7.050903
ata-100652,-18.160664,-0.16804104,-15.465545,-9.466001,-18.07043,-11.835099,-19.915659,-5.681296,19.242601,5.998082,-14.829593,-11.748353,25.070847,-2.5296295,-10.7756,-15.737832,-6.2879915,-14.483768,8.266646,15.504049,11.600026,11.054229,5.0983276,15.956464,-7.0353036,-17.36495,-3.646036,-14.371487,5.0691376,11.464608,5.8533854,11.962453,13.402219,6.3305163,12.059913,-2.1383183,-4.606548,7.551521
ata-100695,-18.980558,-0.060300328,-15.554269,-9.849773,-17.844952,-12.200688,-20.134207,-5.4168463,19.08097,5.6630406,-15.099386,-11.427854,25.02595,-2.2383308,-11.332436,-15.651922,-6.3756523,-14.4805565,8.00248,15.730345,11.72582,11.400955,5.2545676,16.102509,-7.2363334,-17.519587,-5.688201,-5.8414307,3.9334407,3.3738568,5.6545963,3.850483,7.658417,3.086652,5.560914,-0.26291484,-2.1508598,2.5099964
ata-100762,-18.530394,0.25454476,-16.18198,-9.652529,-17.714481,-12.093214,-20.192596,-5.2450027,18.995323,5.954555,-14.595782,-11.500086,24.793156,-2.6414206,-11.154292,-15.602847,-6.2258277,-14.318455,8.254927,15.633042,11.7977085,11.230513,4.9859195,15.984107,-7.3984714,-17.186502,-3.6436203,-14.36023,5.032881,11.484244,5.67492,11.930534,13.455395,6.2534375,12.017833,-2.0814426,-2.3487623,3.7163274
ata-37653,-18.37508,-0.31959254,-6.0875053,-3.717668,-5.369661,-4.9392333,-5.07497,-1.1615096,6.5035424,1.8560172,-6.7534466,-4.31267,8.235761,1.7814215,-1.649812,-7.199261,-5.3753242,-2.6213648,5.061215,5.5437775,7.9127264,2.4408329,7.5056667,5.2856183,-5.6101065,-6.51205,-7.6554575,-5.8251386,3.7922814,2.7268767,5.6931705,3.0036056,7.118915,2.3670874,4.9505615,-0.45576823,-3.6524608,0.8971157
ata-37655,-6.566562,0.67239714,-2.2373168,-2.3058376,-2.455002,-6.9674263,-1.5946529,0.25524485,3.5558379,-0.267652,-2.9919887,-4.956479,5.0686264,0.28803155,0.926701,-4.560725,-4.9247994,1.1193188,3.5813007,2.0877023,6.647977,-1.2653826,7.941468,1.6897509,-3.8799484,-4.001165,-8.941056,-2.671794,3.956847,-0.304083,5.919039,-0.06962176,5.9972067,-0.30562946,2.166375,-1.7626846,-3.4205928,-2.131456
ata-37673,-6.978187,-0.2211025,-3.2340956,-2.3231459,-3.2421608,-6.618189,-2.3351312,-0.4108762,4.3935194,-0.11483264,-3.5168433,-4.6583915,5.6368465,0.5512609,0.36048853,-4.971533,-5.1951594,0.24260603,4.0510135,2.799996,6.508609,-0.61817336,7.6740885,2.4106088,-3.881532,-4.7440076,-8.483361,-3.381269,3.8650866,0.7300186,5.6712356,0.67370844,6.206546,0.5265444,2.941796,-1.3617477,-3.3233302,-1.4058524
ata-37798,-5.866843,-0.44736412,-3.1745784,-3.2645571,-2.9795427,-5.670017,-3.1171188,0.29797333,5.224197,-0.18544087,-4.257527,-3.9225044,6.9575753,0.27571315,0.5049427,-6.2264957,-4.5668697,-0.57496077,4.8293076,3.001739,6.2271733,0.23098719,7.1086497,2.9263945,-3.588338,-5.5766106,-7.5291076,-3.5220833,2.840774,1.0185432,4.752922,0.8947643,5.3104224,1.1775612,2.8497853,-0.23763977,-2.3419144,-0.88360524
ata-37919,-6.11841,0.22678778,-2.6545951,-2.731675,-2.5230398,-6.4073443,-2.2906728,0.27778593,4.178108,0.16703723,-3.666936,-4.9029956,5.698428,0.48746175,0.31499943,-5.0755367,-5.210831,0.5243569,3.6386244,2.8134003,6.901683,-0.6889043,7.990496,2.4407017,-4.142957,-4.567909,-8.666576,-3.3090146,3.81148,0.5477047,5.489234,0.67178166,5.9276657,0.5237967,2.8352513,-1.252629,-3.277403,-1.2791934
ata-38138,-6.917517,0.33748013,-2.6853008,-2.0100765,-2.8907652,-6.9785805,-1.8428459,-0.17861553,3.8334067,-0.3612692,-3.0214326,-4.8676805,5.2062454,0.29558918,0.8532509,-4.758197,-4.809698,0.8553456,3.7566848,2.14981,6.601158,-1.0234936,7.8675656,1.8731594,-3.7617435,-4.1448827,-8.73658,-2.7832918,3.9814465,-0.0031378807,5.864798,0.08909849,6.1637697,-0.020225285,2.4356887,-1.7525191,-3.3703423,-1.8137219
ata-38162,-6.676831,0.77090776,-2.2622728,-2.148363,-2.46995,-7.070912,-1.5108585,0.1783976,3.553215,-0.6814091,-2.7506342,-4.7864704,4.878431,0.034471933,1.2299476,-4.6664004,-4.5991397,1.1679322,3.8977523,1.9211856,6.331999,-1.3659095,7.722432,1.4328359,-3.2227707,-3.9164882,-8.72736,-2.305784,3.6748412,-0.69268143,5.721236,-0.50730836,5.771827,-0.6001239,1.8286682,-1.6626196,-2.9373288,-2.337665
ata-38225,-9.897366,-4.75332,-10.260297,-5.0328836,-9.161438,-3.8589444,-9.82245,-3.5994582,11.493311,4.722931,-11.609941,-4.5897894,12.864627,3.7592194,-6.2824616,-10.993779,-5.1305094,-8.154477,7.4763174,12.105519,8.9324045,7.5325575,5.743393,11.280698,-8.588095,-11.17142,-5.2486987,-10.496799,3.832914,8.319438,4.8118606,8.864144,10.709009,6.2399354,9.880135,-0.008507116,-3.3891273,6.5261064
ata-38230,-6.662579,0.75376916,-2.1978402,-2.1959345,-2.4086084,-7.139826,-1.445778,0.24485204,3.5092394,-0.4070958,-2.8068738,-4.983471,4.85416,0.28112134,0.991723,-4.4626718,-4.8062654,1.2452896,3.5429602,1.9966186,6.4862504,-1.3824081,7.9308033,1.5403596,-3.5472746,-3.8021507,-8.88935,-2.4940302,3.968797,-0.50480545,5.907481,-0.3734394,5.862387,-0.6076785,2.0145106,-1.7325431,-3.2856789,-2.3375692
ata-38246,-6.646461,0.41099843,-2.396192,-2.3314443,-2.7438533,-6.9985356,-1.8719305,-0.048261195,3.8886678,-0.37096527,-3.1398766,-4.945023,5.203188,0.24486305,0.8328173,-4.815723,-4.8871303,0.9365114,3.6842792,2.253118,6.640745,-1.0658681,7.942255,1.9266868,-3.777889,-4.1420326,-8.749788,-2.810787,3.8357868,0.0069969646,5.785692,0.13750903,6.020743,-0.055225547,2.304426,-1.5497165,-3.110821,-1.7272567
ata-38279,-6.720139,-1.0078983,-3.927466,-2.8655157,-3.3615258,-5.589185,-2.9608715,-0.5644076,5.0639095,0.73166144,-4.7222443,-4.732636,6.288017,1.0321779,-0.38042435,-5.617173,-5.3630795,-0.45056117,4.153262,3.541496,7.168208,0.22284044,7.7972093,3.2962654,-4.368588,-5.182277,-8.230108,-3.8594787,3.5536623,1.1860679,5.354681,1.1558334,5.972714,1.2105678,3.2140436,-0.768644,-3.0574832,-0.6728228
ata-38287,-6.7054935,0.5728321,-2.4826744,-2.1666865,-2.7610412,-7.0546517,-1.8091366,-0.019770373,3.832576,-0.43262726,-3.0602555,-4.9213467,5.1369267,0.2503541,0.8586422,-4.6778264,-4.9080443,0.9675129,3.7403915,2.2242508,6.523655,-1.1026983,7.906703,1.807618,-3.72013,-4.045239,-8.7913065,-2.7390678,4.0092983,-0.06466353,5.859933,-7.913706e-06,6.071808,-0.24236865,2.3519466,-1.6898537,-3.2986035,-1.9503303
ata-38508,-10.17596,-5.106885,-10.8084,-5.0108294,-9.445558,-3.5842383,-9.492797,-3.3045661,11.554066,4.5378404,-11.880253,-5.074351,12.552402,3.9031124,-6.533093,-11.2101345,-5.17157,-8.505296,7.7584333,12.951035,9.3441925,8.119297,5.9741974,11.799742,-8.742047,-11.580468,-5.159883,-11.033825,4.350728,9.528767,5.2842665,10.245997,11.548059,6.3098536,10.946568,-0.7502195,-3.9384422,7.1478257
ata-38617,-7.5827403,-4.173,-7.7273545,-4.105052,-6.9611635,-4.242815,-6.953307,-2.0460262,8.401755,2.8699887,-9.039628,-4.115845,10.829438,2.733792,-3.3238242,-8.8109665,-4.9846206,-5.1409764,6.3250422,7.707729,7.6612267,4.724779,6.477009,7.7862725,-7.0052514,-9.133275,-5.9390755,-7.7024302,2.9396152,5.6711335,4.5065312,5.606149,7.821504,5.0200896,7.0469084,0.6949223,-3.614848,4.109035
