id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1
cat-0,10.488946,-19.12129,-4.8021455,10.010256,-20.40855,-6.744738,14.097836,-25.645927,21.358366,18.8158,-20.000893,-23.115215,-21.135082,23.72359,14.2631035,-28.557158,25.7141,-11.432929,-29.36792,-3.8657,0.28712744,27.128546,0.77994484,-29.30045,5.7764015,-29.80923,34.74965,-2.8789427,23.645964,-13.306253,35.369675,-6.700941,8.004382,-20.73771,-17.664175,16.525297,-4.1425614,17.424097,0.09757675,17.66793,3.8776567,-11.3946905,-5.1702414,-10.11928,20.996843,-14.891316,-18.647219,-15.309985,18.57395,17.569683,9.262274,28.607607,-0.29923913,-9.092033,2.4070194,-23.425112,21.95508,-18.92275,-22.14651,-4.20147
ship-1,22.97137,29.477741,34.206482,-7.865325,25.550714,-10.066541,-15.1350355,26.877447,-21.08833,-25.912415,8.1157675,35.651287,30.4306,-5.192795,-16.569452,23.929441,-26.11751,6.129887,24.637259,-13.31313,-15.08215,-32.99223,24.374628,18.402681,-11.822719,27.1952,-32.793747,7.1718254,-23.679611,3.7208595,-30.17896,-1.7149719,-2.369044,34.493645,15.713873,-16.935688,-1.0041056,-31.167427,-6.795224,-32.36654,-34.218037,4.3505635,-26.902048,17.405846,-33.514168,0.4352228,12.598842,25.55735,-33.446056,-7.134961,-3.251739,-34.883965,33.504517,-0.017760696,-24.064035,12.447857,-32.01293,2.0668454,28.425472,4.19714
ship-2,29.453533,21.261646,33.007275,-3.4981215,25.283443,-13.287599,-14.440284,26.699886,-22.09522,-25.097315,11.132663,33.745365,29.635214,-6.763487,-16.760473,25.082096,-26.377296,6.370763,25.038097,-12.93799,-16.950583,-31.652359,24.749928,21.192802,-11.591168,28.198282,-33.968586,5.984957,-23.350588,7.928103,-31.527992,-2.273224,-3.4512374,36.378647,14.224128,-22.956884,-3.672151,-28.841602,-5.7600603,-33.328587,-33.115574,5.512331,-26.61491,16.925129,-20.644827,-5.1329975,12.119016,28.107418,-32.52275,-8.327537,-19.439102,-26.249355,36.244507,2.5968297,-24.183676,12.582576,-32.495243,0.40601078,28.832966,4.309985
airplane-3,33.36442,21.233427,42.55227,-1.3894671,29.140375,-23.87354,-5.6591687,36.3502,-34.47666,-22.293911,8.21166,38.396942,33.68049,5.044233,-25.265884,26.060003,-33.880413,-1.0169988,31.1143,-4.7228928,-10.240717,-34.130295,25.189915,13.708792,-15.1466,24.16204,-27.285946,8.790651,-15.483724,18.532717,-30.015427,-11.02498,3.8304198,29.474506,21.170687,-14.646188,-7.8854136,-13.860779,-7.279044,-14.583553,-11.575439,24.94009,27.35073,13.562923,-14.939,12.305502,-3.0936174,23.40571,-6.9860888,-25.356146,-16.844282,-10.777159,31.414492,18.254501,-24.88522,-9.041647,-23.567333,11.058105,22.070173,-15.427768
frog-4,-20.862524,-26.075096,-27.627947,17.572506,-38.75948,-1.4928194,-0.7370953,-16.231121,-2.222379,25.28078,-20.840576,-2.8015444,-31.943697,8.877051,-7.6491904,-27.086788,8.696212,-23.591122,-11.741596,19.668623,20.812647,28.964495,-16.832458,-18.137999,-14.346499,-25.564034,20.051601,12.805314,11.047094,-17.978655,5.867201,-3.3368385,-8.471918,-17.38787,-15.756013,-1.5636213,25.624681,-3.2262287,29.491535,11.39346,23.346092,7.758315,-1.8025725,9.077551,4.6810246,-22.399961,-24.521404,5.540282,2.3460095,25.454922,-10.548408,35.232506,14.719979,-17.846855,20.880121,15.405174,34.170208,3.45991,-10.757339,-27.536005
frog-5,-35.764282,-17.009119,1.8187788,-6.2669606,14.724495,3.4108384,-9.43091,-29.781063,9.850471,46.941185,-36.941498,-6.606364,-39.896473,10.71958,-13.067281,-41.133472,12.036666,-35.931065,-6.3638816,39.901917,20.813272,39.424656,-25.262316,-29.492126,-19.973103,-34.423428,39.29961,18.753775,13.3326,-30.414455,47.19549,14.041215,-16.547611,-24.981075,-27.53723,-6.4074087,35.547512,-7.8747087,35.196537,12.733492,31.588821,14.135409,-5.508742,17.531178,1.7974358,-32.7618,-26.66756,4.321033,2.3791966,28.97829,-11.188283,40.691166,16.36969,-29.662365,20.513645,17.266289,37.451008,3.2877657,-12.478198,-28.485373
automobile-6,-10.23186,32.68538,7.776888,-38.150776,44.500473,12.574331,-25.652708,14.447692,-11.894952,-37.149242,13.989705,3.6081815,27.313026,-22.76046,2.1144097,34.616848,-23.14647,25.46359,19.288132,-28.358791,-30.39774,-18.5642,7.7380834,31.613106,6.895861,38.720375,-35.670055,-16.85029,-27.648033,-16.178932,-34.44721,20.909271,-24.223711,27.79179,-1.8766448,-31.108881,2.2942135,-38.67452,-9.038033,-40.897873,-35.439907,2.7920878,-32.50358,18.305363,-39.555653,2.3419764,0.6629138,40.5576,-41.878845,-3.487959,-0.2872083,-39.0163,-41.331238,-9.308604,-36.899647,2.2787316,-10.615583,35.285843,23.363213,15.894711
frog-7,-24.246273,-27.964579,-35.04461,22.107574,-45.62485,2.5440712,-6.3422337,-21.068445,1.0827347,34.87354,-30.888258,-1.517491,-31.585785,7.1573133,-8.404807,-25.649511,6.502095,-19.455088,-5.5834374,16.550072,25.250847,15.985612,-15.75342,-12.85041,-14.80343,-16.818886,12.96736,14.199652,8.420994,-12.911168,4.5786095,-5.252605,-0.5579251,-5.9658155,10.230569,18.471058,16.720116,5.2458844,13.821526,21.520937,26.54002,-4.252067,18.33486,-19.588812,15.137026,13.002954,10.843719,-21.4738,14.352039,-6.893442,-9.195664,19.72106,3.4352221,23.378014,17.051443,-2.4816048,13.306721,-2.1210628,-8.272307,-6.055981
cat-8,6.091284,-24.36153,-10.187171,15.2719965,-20.989017,-11.89143,24.631851,-16.71,11.146664,13.103327,-17.055244,-24.174608,-16.63238,26.562304,16.63053,-27.610657,28.989037,-9.333825,-29.710228,-2.6343794,1.1070696,26.852837,-1.1043748,-28.124323,3.683804,-31.63393,32.638447,-1.095473,23.805397,-12.188124,32.003643,-3.7573097,7.895585,-19.284758,-16.414343,15.119817,-4.587594,14.759593,2.0375073,18.502405,2.9043322,-9.119734,-2.2344387,-8.9498825,19.484152,-16.552761,-18.086166,-14.383319,16.988403,14.899086,8.389474,29.697184,1.700997,-7.1451216,-0.37005457,-23.680716,21.77933,-18.20732,-22.633923,-4.220981
automobile-9,17.884224,27.011967,14.210657,-16.049911,35.795856,10.02936,-30.31057,17.809513,-13.676284,-41.2635,28.207853,16.255856,34.364437,-25.480114,2.197583,40.086582,-25.124584,28.811275,19.33938,-30.403946,-32.27122,-17.771055,6.695864,35.444897,11.418965,42.39126,-38.081825,-19.81106,-27.782263,-17.592316,-34.55253,22.652243,-25.9266,27.238901,-9.051529,-32.2313,-0.788484,-37.977737,-11.07859,-43.7395,-39.97364,0.23871946,-34.823574,18.175867,-45.163807,0.736025,-4.0371833,47.998188,-40.85084,-2.6975243,0.22786842,-41.241062,-41.447647,-10.84568,-38.15477,2.4073274,-13.27608,37.013912,22.251123,20.569464
