id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1
cat-0,3.2192202,-0.20021327,3.151268,-1.0131611,3.322046,-1.374601,4.9158263,-3.4592104,3.6716335,-3.211742,2.7196734,-3.3223708,3.5848615,-3.3027587,2.8491127,-3.336262,2.8363516,-3.1250587,2.9655228,-2.02556,2.8220723,-3.2561831,2.7992058,-2.8135705,2.8098366,-2.898932,2.749568,-3.6194527,2.834254,-3.1081245,2.6887612,-3.4486308,2.7627113,-3.615273,2.4844272,-3.6726255,3.3467512,-2.0128798,2.7241614,-3.332179,2.891852,-2.9286275,2.6426718,-3.4276967,2.4419715,-3.67443,2.3980055,-3.518458,2.7587304,-3.3070881,1.8978907,-4.4539466,2.6212752,-3.6387377,2.1304092,-4.186213,2.1551514,-4.255024,2.6526685,-3.6433196
ship-1,-5.681347,-1.4837487,-6.720778,-0.8787014,-6.7910686,-0.57608294,-7.0158234,-0.27861446,-6.939599,-0.27283922,-7.8631134,2.1626213,-7.2237806,-0.03770575,-7.325113,0.33682993,-7.054915,-0.16638832,-6.930149,-0.14109075,-8.009187,1.9178779,-7.690556,2.0047596,-7.1095967,0.1833671,-8.2466135,3.8424635,-2.619393,-4.922565,-7.0814247,0.06272703,-7.030567,0.08416532,-6.0609145,-0.31876194,-2.0220997,-6.318417,-2.116797,-5.1648955,-2.0960681,-5.719355,-6.632637,-0.46004173,-6.627604,-0.45088744,-6.7461486,-0.44176328,-2.654,-5.119793,-2.6404433,-5.22778,-7.2144446,-0.49464896,-7.258665,0.09290244,-7.2974343,-0.19344969,-6.544185,-0.45262116
ship-2,-5.7784114,-0.039290074,-6.700292,0.11866551,-6.732559,-0.33432612,-6.833992,-0.27523962,-6.8413644,-0.039492704,-7.7087884,1.6885369,-7.0546675,-0.40662128,-7.5814567,0.7822501,-7.0932717,-0.23910914,-6.894212,-0.03382431,-7.082286,-0.027366914,-8.129528,2.1318834,-6.9450502,0.093135074,-8.876798,3.580341,-7.1021113,-0.03313696,-7.5165744,0.66582245,-7.573409,0.670874,-6.982875,0.21504243,-6.7719936,-0.5781321,-2.611192,-4.919655,-2.712562,-4.906243,-7.0965257,-0.2896793,-8.066384,2.0071256,-8.068314,2.0782866,-7.18245,-0.39279255,-8.034054,1.4386001,-8.731896,2.2243319,-7.4865055,0.54237133,-8.670147,2.2862916,-6.99728,-0.23442851
airplane-3,-6.231556,0.30829436,-8.526249,2.968805,-8.053343,2.0068643,-8.0307455,3.08922,-8.098743,3.5074184,-8.0009775,3.8759289,-8.219004,2.352147,-8.306533,4.0447264,-7.772643,2.488054,-7.749757,2.623097,-7.885203,2.0802486,-8.433086,1.0089139,-8.147835,0.57441944,-8.475902,1.4905317,-7.4921575,0.4277318,-7.6719003,0.3905132,-5.453917,1.7961178,-5.2687078,2.0207903,-4.965245,2.0147488,-5.073675,4.992758,-5.1254597,4.106682,-5.220637,3.0143611,-5.2478065,3.7976806,-5.2315936,3.8915572,-5.0711746,4.9299064,-5.0886617,5.3567896,-5.1281853,4.1494365,-5.1673584,5.4256,-5.1739235,4.965751,-4.586831,6.7279177
frog-4,5.45644,-1.2898802,5.3213754,-1.2164568,5.8465357,-1.4386144,6.887186,-1.8834021,7.459321,-0.79237324,6.157328,-0.19213998,7.086608,-3.563462,7.2112026,-1.671941,7.2684,-2.0097475,6.821572,-1.6700275,7.049139,-1.6164119,7.2389717,-2.0412614,6.728231,-1.8801141,7.991427,-1.1532416,7.487807,-2.0644732,8.22474,-0.81834126,8.117402,-3.7405832,7.3677893,-3.587495,8.619276,-4.5358405,8.128227,-3.845781,6.9087143,-3.4646103,8.436532,-4.455614,7.786573,-3.8869305,8.328226,-4.4523916,8.989251,-4.672013,9.247429,-4.9145303,8.241029,-3.9176118,11.228719,-5.4731216,10.34784,-5.3924274,11.940973,-4.935729
frog-5,5.8921695,-2.8360612,-1.2261076,-2.7591803,-1.9917116,-3.6013339,7.581022,-5.05215,8.74696,-5.63915,6.491803,-4.3149514,8.209138,-5.552465,8.318879,-5.577281,8.667576,-5.662021,8.267301,-5.6184916,7.8659844,-5.4909835,9.395326,-5.994947,8.843253,-5.9332433,9.868996,-6.1200247,9.379813,-5.9858117,9.724677,-6.0025063,11.72149,-5.670077,10.419941,-6.0392146,12.69783,-5.2741203,10.395773,-5.9795046,10.628062,-6.065075,11.781672,-5.6518054,11.216278,-5.8458104,9.29868,-6.096119,10.357918,-5.9507437,12.315844,-5.4282107,13.138335,-4.9209566,12.100319,-5.5633035,12.024909,-5.5741115,12.459272,-5.3829775
automobile-6,-2.4776044,-5.854855,-2.120938,-7.5468826,-2.1004746,-7.7277946,-2.7933142,-4.922077,-2.744989,-4.726873,2.1943128,-0.41229612,-2.3647397,-7.2960196,-2.1747231,-7.25695,-2.0449336,-7.706288,-2.036637,-7.7124424,-2.067687,-7.6123075,-2.2972078,-6.4729233,-2.1590245,-3.9942636,-2.373266,-6.3117037,-3.1327496,-10.811469,-2.9013088,-10.409458,-2.6403143,-9.834197,-2.406202,-5.1705494,-3.1776037,-10.882607,-2.7621546,-9.76408,-2.3357084,-6.502111,-2.3714383,-6.587983,-2.3266833,-6.5543633,-2.233819,-4.1025696,-3.172843,-11.003464,-2.4139612,-9.833266,-2.5644517,-9.611227,-2.0637782,-7.646792,-3.22518,-6.561468,-2.3514743,-6.477487
frog-7,5.819931,-1.5091507,6.3581624,-1.9429909,7.217335,-2.9087186,7.648237,-3.4939165,7.396705,-2.8057132,7.436174,-2.430908,7.610884,-3.4125378,7.584512,-1.4583253,7.8770027,-0.7558929,7.2025247,-0.4045325,8.140486,-0.016818978,7.637451,-1.0273001,7.6575904,-1.3800223,8.156112,-0.029934032,7.8894243,-0.6042347,8.513565,0.9511602,7.7279067,-0.8351936,8.099436,-0.6366546,7.49386,-2.4059227,8.137565,-0.6228366,8.304146,0.037252925,8.636387,0.4869924,8.179111,-0.5259007,8.6939945,1.1089262,8.682245,1.0783005,8.640677,0.49349263,9.532571,2.7359264,8.007054,-0.450488,8.115011,-0.6054405,8.08435,-0.8102621
cat-8,3.899748,-0.043294504,3.0315473,0.91772634,3.6840205,0.6508368,3.6228557,0.3782869,2.8042364,-0.99985176,2.7649055,-2.205217,2.3023033,-2.3213553,2.3013194,-2.250783,2.1857579,-2.421509,2.2985828,-2.3299017,2.1849163,-3.102695,2.223234,-2.3512125,2.132637,-3.367461,1.7628009,-2.4301224,2.0271468,-2.343065,1.8170488,-2.3530047,1.8206041,-2.3940291,1.9860206,-3.2704582,2.0586264,-3.2327282,1.8362508,-3.777601,2.2941463,-3.4877238,1.7673163,-3.2757761,1.8245375,-3.8691251,2.1877697,-3.4512293,1.7952707,-2.4870338,1.8472223,-4.5420303,1.6920495,-2.889929,1.8148657,-4.64943,1.7523336,-3.7617853,1.8876034,-3.780984
automobile-9,-4.857309,-2.0393047,-4.3061333,-2.8885012,-2.9421527,-6.1804905,-2.6748433,-6.9042735,-3.047469,-6.5293565,-3.2526186,-6.4759455,-1.9875691,-10.143936,-2.2456758,-9.997949,-1.9486836,-10.140543,-1.6860896,-9.510466,-1.6017258,-9.385334,-1.7243032,-9.691711,-1.6335592,-8.295822,-1.5629089,-9.148259,-3.305045,-11.570022,-2.9821513,-11.403897,-2.1337514,-10.6352415,-1.687938,-9.770226,-1.7849673,-10.313722,-2.9784617,-11.439522,-1.8346169,-10.295792,-1.5469195,-8.385172,-1.931636,-10.320874,-2.8233159,-11.129294,-2.3468373,-10.884276,-2.8623393,-11.344236,-1.4509327,-9.129042,-1.5442692,-9.543278,-1.524321,-9.16807,-1.6275325,-9.496639
