id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1,t30d0,t30d1,t31d0,t31d1,t32d0,t32d1,t33d0,t33d1,t34d0,t34d1,t35d0,t35d1,t36d0,t36d1,t37d0,t37d1,t38d0,t38d1,t39d0,t39d1,t40d0,t40d1,t41d0,t41d1,t42d0,t42d1,t43d0,t43d1,t44d0,t44d1,t45d0,t45d1,t46d0,t46d1,t47d0,t47d1,t48d0,t48d1,t49d0,t49d1,t50d0,t50d1,t51d0,t51d1,t52d0,t52d1,t53d0,t53d1,t54d0,t54d1,t55d0,t55d1,t56d0,t56d1,t57d0,t57d1,t58d0,t58d1,t59d0,t59d1,t60d0,t60d1,t61d0,t61d1,t62d0,t62d1,t63d0,t63d1,t64d0,t64d1,t65d0,t65d1,t66d0,t66d1,t67d0,t67d1,t68d0,t68d1,t69d0,t69d1,t70d0,t70d1,t71d0,t71d1,t72d0,t72d1,t73d0,t73d1,t74d0,t74d1,t75d0,t75d1,t76d0,t76d1,t77d0,t77d1,t78d0,t78d1,t79d0,t79d1,t80d0,t80d1,t81d0,t81d1,t82d0,t82d1,t83d0,t83d1,t84d0,t84d1,t85d0,t85d1,t86d0,t86d1,t87d0,t87d1,t88d0,t88d1,t89d0,t89d1,t90d0,t90d1,t91d0,t91d1,t92d0,t92d1,t93d0,t93d1,t94d0,t94d1,t95d0,t95d1,t96d0,t96d1,t97d0,t97d1,t98d0,t98d1,t99d0,t99d1,t100d0,t100d1,t101d0,t101d1,t102d0,t102d1,t103d0,t103d1,t104d0,t104d1,t105d0,t105d1,t106d0,t106d1,t107d0,t107d1
brushing_teeth-51,-43.426975,60.107166,-33.097775,55.771545,-17.755157,43.18615,-17.661098,43.15107,-17.647356,43.134834,-17.701872,43.108982,-17.765451,43.065056,-17.794683,42.972687,-17.772085,42.7658,-17.657833,42.348663,-17.483175,41.66374,-16.893291,39.627796,-16.8185,39.520714,-16.830824,39.24776,-16.972336,39.139706,-17.10881,39.06782,-28.211775,26.284346,-28.373753,25.795927,-28.580406,25.416706,-28.696959,25.263952,-30.713741,16.749905,-30.70589,16.720274,-30.70736,16.097328,-30.708998,15.884866,-30.718786,15.804227,-30.740633,15.776251,-30.783018,15.814415,-30.844507,15.960305,-30.887722,16.1643,-30.885504,16.316868,-30.822279,16.48202,-26.031961,21.571486,-25.876268,21.752317,-25.818888,21.893566,-16.361885,38.968906,-16.259869,39.05458,-16.197893,39.111485,-16.142633,39.220894,-16.058453,39.361565,-15.895655,39.459793,-15.653051,39.498535,-15.402316,39.511612,-15.2406225,39.520424,-15.206473,39.503532,-15.25931,39.448544,-15.351351,39.380737,-15.44397,39.33623,-15.504411,39.333164,-15.463982,39.3613,-15.22761,39.370068,-14.715439,39.269962,-14.434166,39.176315,-14.358682,39.13356,-14.391299,39.135662,-14.625745,39.195957,-15.269271,39.399555,-15.604566,39.69595,-15.662863,39.97794,-15.565326,40.080776,-15.330444,40.047974,-14.8936405,39.897636,-14.573301,39.797222,-14.451485,39.786358,-14.443934,39.82043,-14.532845,39.908268,-14.68571,40.186462,-14.761356,40.860744,-14.709006,41.283245,-14.637835,41.487797,-14.502196,41.635456,-14.303384,41.7835,-14.168851,41.874554,-14.102808,41.916267,-14.052985,41.951748,-13.961583,42.017963,-13.757313,42.164547,-13.51058,42.32993,-13.390966,42.40905,-13.340448,42.430935,-13.312422,42.412228,-13.281437,42.337906,-13.179233,42.08473,-12.877033,41.187023,-12.832691,40.66128,-12.840121,40.525017,-12.8440895,40.520603,-12.844592,40.52902,-12.844536,40.47858,-12.847256,40.385704,-12.841595,40.305515,-12.833327,40.271503,-12.834994,40.293987,-12.83592,40.44324,-12.680852,41.35297,-12.506035,42.17197,-12.414955,42.4392,-12.388087,42.48372,-12.406996,42.435883,-12.462952,42.303074,-12.533021,42.103683,-12.580938,41.915703,-12.608809,41.785347,-12.623835,41.77658,-12.690281,41.990593,-12.931986,42.29137,-21.997396,60.365944,-37.219673,55.856846,-45.874912,55.960163
brushing_teeth-52,-37.81344,56.24978,-21.99581,59.643124,14.804253,47.632324,15.116336,47.418095,15.215804,47.253952,15.197568,47.169865,15.139695,47.068447,10.400573,31.453121,10.525947,31.351748,10.672336,31.204485,10.860613,30.95262,11.016602,30.703955,11.104335,30.557365,11.154437,30.484215,11.196189,30.41172,11.2492285,30.277319,11.309041,30.116404,11.339071,30.01768,11.336569,30.002048,11.297607,30.10901,11.216938,30.589058,11.168238,31.505505,11.145989,31.648415,11.159373,31.656334,11.18568,31.607012,11.200854,31.528376,11.205732,31.504192,11.199044,31.57144,11.1692915,31.67831,11.086494,31.8658,13.178761,48.635895,12.784217,48.96895,12.494191,49.198868,12.324195,49.326668,12.213644,49.401417,12.143463,49.439922,12.123533,49.4488,12.146659,49.438374,12.170765,49.429924,12.166973,49.4424,12.141255,49.469116,12.114248,49.488277,12.092264,49.489655,12.064485,49.476078,12.012099,49.4524,11.990311,49.420277,12.095751,49.368996,12.271833,49.290688,12.417878,49.219456,12.509778,49.17379,12.538756,49.160492,12.49686,49.188778,12.414264,49.241302,12.348394,49.279175,12.357584,49.270348,12.458932,49.20338,12.639778,49.077953,12.892203,48.895805,13.198371,48.650192,13.439949,48.356197,11.267024,31.931452,11.335189,31.921326,11.373546,31.96458,11.388049,32.014336,11.403243,32.065315,11.442606,32.16369,11.505837,32.449165,11.576252,33.06057,11.497634,35.369778,11.442598,35.89074,11.334838,36.390934,11.240836,36.63518,11.190763,36.70988,11.186889,36.714138,11.229577,36.653275,11.338811,36.447693,11.5178585,35.98989,11.707718,35.45508,11.842678,35.14691,11.92543,35.007187,11.970474,34.934345,11.967023,34.906765,11.890628,34.90261,11.674132,34.865864,10.976329,34.60291,10.178352,34.138474,9.868587,33.898064,9.688497,33.73365,9.535188,33.583687,9.386232,33.440372,9.262475,33.329952,9.166732,33.257706,9.104444,33.187992,9.073733,33.04705,8.996972,32.59709,8.849064,31.947973,8.802211,31.740118,8.786077,31.695372,8.777001,31.746893,8.802651,32.008865,8.871053,32.794537,8.725152,33.1209,8.579435,33.219906,8.487897,33.260925,8.355089,33.32406,-6.4343705,38.450367,-26.083853,38.723324,-32.570484,53.917942
brushing_teeth-214,-21.135733,55.423565,14.485291,54.234093,33.80414,24.918541,33.353767,24.920105,33.221714,24.927324,33.19193,24.928318,33.18242,24.927717,33.17534,24.925045,33.165585,24.920944,33.15619,24.918322,33.15424,24.916592,33.16094,24.91606,33.17249,24.914894,33.189648,24.913748,33.21732,24.912539,33.27324,24.90829,33.394905,24.90217,33.62008,24.899559,33.86916,24.907484,34.083088,24.927359,34.32187,24.975939,41.362892,28.448708,41.79117,28.602083,42.26001,28.708765,42.524258,28.758163,42.63084,28.780191,42.676613,28.789165,42.706898,28.793406,42.756634,28.800539,42.84024,28.81309,42.925083,28.826992,42.986736,28.839104,43.024345,28.847223,43.03286,28.849234,43.017,28.84502,42.989258,28.83802,42.96386,28.831947,42.947414,28.828697,42.942608,28.82762,42.937744,28.827816,42.92395,28.826761,42.899097,28.823658,42.860188,28.818306,42.79182,28.8076,42.629967,28.787785,42.20752,28.751709,41.64041,28.717594,41.382286,28.703966,41.30334,28.689854,41.307804,28.670712,41.313774,28.651691,41.286137,28.639147,41.23221,28.637651,41.0817,28.64394,40.76263,28.622774,30.489872,24.044598,30.360182,23.9886,30.300337,23.962006,30.27887,23.953592,30.297428,23.969131,30.369528,24.022026,38.40466,31.82882,38.385708,31.914062,38.333492,32.01182,38.285145,32.104126,38.265133,32.17438,38.285923,32.234035,38.347218,32.29998,38.50303,32.430717,45.85636,38.33777,46.054245,38.625572,46.191128,38.85502,46.287514,39.03128,46.353855,39.1619,46.39004,39.236313,46.39975,39.256138,46.400078,39.255325,46.422264,39.30303,46.48348,39.442417,46.547764,39.59936,46.58093,39.684155,46.591675,39.71335,46.594017,39.720356,46.59575,39.724453,46.592503,39.71477,46.57931,39.67991,46.56276,39.636204,46.561417,39.633553,46.58532,39.696857,46.61849,39.784866,46.640224,39.845585,46.63515,39.83413,46.60856,39.76436,46.57358,39.67262,46.527206,39.550068,46.46671,39.39896,46.411064,39.27183,46.386944,39.22882,46.417835,39.306744,46.476055,39.448025,46.513054,39.541565,46.50894,39.53586,46.47385,39.45681,46.437794,39.381195,46.45047,39.43155,46.55226,39.758366,7.3605475,53.288353,-26.903646,59.164684
brushing_teeth-292,0.27743006,58.049557,4.6480956,37.496742,33.673725,18.795261,32.56461,18.009212,32.43873,17.979237,32.448162,18.024939,32.563477,18.139948,32.995228,18.458014,33.570793,18.814653,33.80168,18.945389,33.914932,18.990303,33.957176,18.980148,33.93638,18.937265,33.88895,18.890833,33.843143,18.855415,33.83666,18.853579,33.864452,18.878654,33.896694,18.906479,33.917206,18.924545,33.91509,18.92678,33.88595,18.908926,33.839344,18.877136,33.803394,18.851654,33.82054,18.861298,33.880016,18.896948,33.957764,18.948235,34.095512,19.033566,34.39429,19.200035,42.71238,21.887066,42.796448,21.885918,42.836334,21.880816,42.878185,21.869417,42.946205,21.853064,43.035755,21.834148,43.140556,21.81757,43.272152,21.800554,43.48583,21.768892,43.881676,21.69575,44.344116,21.590828,44.6254,21.534843,44.818325,21.567232,45.022923,21.692368,45.2473,21.84735,45.50169,21.991745,45.853046,22.145954,46.309402,22.311686,46.7246,22.423197,46.97251,22.46413,47.09056,22.473656,47.150272,22.49581,47.18763,22.56756,47.222977,22.723452,47.267487,22.982338,47.30184,23.185986,47.332874,23.259066,47.35214,23.258308,47.347263,23.231205,47.31492,23.228153,47.244087,23.303185,47.12655,23.45543,47.030525,23.570185,46.978893,23.620785,46.955513,23.63669,46.944008,23.621893,46.92954,23.574245,46.90323,23.511782,46.863934,23.465673,46.819973,23.463112,46.76986,23.483416,46.690434,23.480364,46.547802,23.419336,46.30368,23.255047,45.921932,22.9101,45.511917,22.461264,45.31426,22.203283,45.22938,22.08827,45.202152,22.071964,45.209717,22.114355,45.22725,22.165258,45.246662,22.202309,45.260403,22.216951,45.258137,22.194027,45.23262,22.124414,45.2112,22.043558,45.24824,22.031843,45.41112,22.177845,45.936596,22.70046,47.12557,23.973372,47.610794,24.483982,47.788742,24.705183,47.846333,24.782625,47.857147,24.80157,47.856567,24.805351,47.863464,24.821857,47.902378,24.879963,47.98184,24.984598,48.05577,25.079891,48.09679,25.135132,48.105606,25.146536,48.088993,25.125677,48.056084,25.081371,48.0231,25.037453,48.010826,25.021397,48.037792,25.064764,48.119278,25.197184,15.363418,66.42658,12.705284,65.31463,-27.750158,62.276676
brushing_teeth-293,-37.958344,57.761505,6.4226665,61.82687,14.243289,57.523678,15.671475,57.783054,15.976285,57.66145,16.0389,57.611736,16.001379,57.658066,15.920832,57.790478,15.821724,57.996056,15.74843,58.288,15.72814,58.74214,15.682546,59.535534,15.514166,60.698082,15.448585,61.08482,15.391597,61.36186,15.318569,61.727654,15.238361,62.140102,15.179492,62.410725,15.145592,62.537018,15.136589,62.579216,15.148933,62.57912,15.165947,62.57492,15.165501,62.605175,15.112256,62.706425,14.884038,63.075665,14.43972,63.84427,14.290102,64.0648,14.264668,64.12104,14.285362,64.11615,14.322899,64.05834,14.371137,63.954075,14.410652,63.844692,14.414771,63.804214,14.373423,63.841434,14.305669,63.90029,14.210799,63.94244,14.089905,63.955566,13.996826,63.920708,14.012138,63.803837,14.126859,63.616383,14.233945,63.480453,14.270509,63.458824,14.212812,63.56214,14.063626,63.772953,13.85567,63.991108,13.653878,64.10024,13.545689,64.124306,13.51744,64.117455,13.5241585,64.1145,13.511205,64.152916,13.446895,64.24424,13.348022,64.34993,13.260193,64.41785,13.212695,64.43179,13.214113,64.410034,13.248903,64.39135,13.300697,64.40053,13.370215,64.44768,13.4527645,64.55804,13.538617,64.73742,13.610803,64.93061,13.650824,65.0728,13.66953,65.1542,13.691132,65.19566,13.726003,65.22794,13.7682495,65.30152,13.788726,65.623726,13.695939,66.9734,13.604464,67.228096,13.567146,67.2841,13.585116,67.28756,13.667527,67.2542,13.900075,67.165344,14.276586,67.02582,14.466109,66.9474,14.418229,66.95742,14.16545,67.057465,13.91356,67.17144,13.8139715,67.22641,13.830091,67.22713,13.967407,67.17513,14.253749,67.061806,14.530192,66.945595,14.634065,66.89131,14.52845,66.929214,14.275468,67.0275,14.078718,67.11095,14.057276,67.127754,14.213793,67.07032,14.55373,66.93509,14.902899,66.76946,15.038687,66.696106,15.032838,66.686195,14.91412,66.72974,14.741779,66.79064,14.670203,66.80694,14.795372,66.71555,15.075495,66.45378,16.616062,63.637177,16.696056,63.49441,16.721115,63.457237,16.706251,63.442596,16.652323,63.445168,16.534542,63.480732,16.246164,63.636833,15.770058,64.05143,6.1337776,61.627785,-37.837986,57.80882
brushing_teeth-306,-13.639342,48.91381,-14.340052,10.688618,-60.23201,-50.450222,-60.194576,-50.39144,-60.222084,-50.3474,-60.263325,-50.287506,-60.2774,-50.224205,-60.255367,-50.146362,-60.197155,-50.03841,-60.131294,-49.90439,-60.148952,-49.788464,-60.263012,-49.7033,-60.37373,-49.64564,-60.413853,-49.626472,-60.35132,-49.65293,-60.13588,-49.69978,-59.372974,-49.6726,-58.127613,-49.538937,-57.530857,-49.49879,-57.209587,-49.482624,-57.16016,-49.48049,-57.399258,-49.49163,-57.82745,-49.514587,-58.226414,-49.537807,-58.403606,-49.54857,-58.28259,-49.541367,-57.89761,-49.51851,-57.27968,-49.48585,-56.31561,-49.448803,-55.324806,-49.427338,-54.770752,-49.420662,-54.620323,-49.419144,-54.562542,-49.41864,-54.543037,-49.418495,-54.548687,-49.418533,-54.57199,-49.418716,-54.603725,-49.418976,-54.632874,-49.419243,-54.650215,-49.41941,-54.656994,-49.419464,-54.669426,-49.419594,-54.72058,-49.420128,-54.906216,-49.422203,-55.57222,-49.431583,-56.792667,-49.465935,-57.7813,-49.518,-58.98977,-49.653183,-60.348915,-49.83031,-60.713055,-49.771095,-60.816265,-49.72829,-60.762997,-49.735744,-60.639687,-49.757896,-60.54704,-49.753716,-60.525974,-49.71017,-60.585262,-49.624302,-60.708126,-49.493164,-60.827168,-49.35927,-60.82986,-49.285664,-60.628613,-49.26664,-60.058372,-49.329376,-58.532513,-49.522472,-57.386246,-49.48758,-56.086926,-49.440926,-54.9326,-49.422424,-54.670216,-49.419598,-54.616016,-49.419083,-54.622692,-49.41914,-54.661804,-49.41951,-54.730045,-49.420177,-54.852837,-49.421394,-55.11415,-49.42406,-55.444107,-49.427685,-55.631813,-49.430035,-55.72025,-49.431202,-55.755264,-49.4316,-55.76677,-49.431664,-55.77101,-49.431664,-55.776764,-49.43178,-55.791035,-49.432144,-55.818733,-49.43285,-55.859673,-49.433887,-55.911304,-49.435253,-55.982468,-49.437317,-56.118015,-49.441544,-56.458138,-49.453163,-57.086216,-49.47746,-57.631138,-49.501556,-58.17367,-49.520863,-58.744343,-49.51342,-59.61737,-49.404266,-60.67978,-49.249283,-61.179176,-49.204548,-61.403805,-49.149963,-61.425404,-49.153393,-61.28903,-49.23001,-61.010258,-49.40895,-60.64522,-49.656,-60.44865,-49.75788,-60.384304,-49.7782,-60.459805,-49.767815,-60.722195,-49.72047,-61.330788,-49.590015,-62.152264,-49.36838,-62.663925,-49.273067,-63.01185,-49.209805,-63.434437,-49.111736,-63.832783,-48.990562,-59.138016,64.911644
brushing_teeth-321,-45.219524,56.41601,-26.657246,59.092846,7.847707,54.778187,7.902488,54.793488,7.913058,54.801228,7.9116526,54.803535,7.9092507,54.804432,7.906637,54.803085,7.901832,54.79806,7.900917,54.788933,7.9066973,54.76955,7.9157195,54.74026,7.9334474,54.750595,7.94848,54.795033,7.9690843,54.834526,8.024298,54.890163,8.179714,55.02321,8.410249,55.210533,8.58317,55.353848,8.715173,55.479893,8.822477,55.590443,8.89345,55.663708,8.934273,55.72211,8.978399,55.80237,24.656317,57.30015,24.758802,57.40691,24.790684,57.45672,24.783623,57.476334,24.778374,57.483036,24.81431,57.480324,24.930552,57.472374,25.175552,57.487793,25.513313,57.563095,25.741404,57.644825,25.852049,57.68562,25.884405,57.671616,25.86288,57.613014,25.89213,57.527233,26.230364,57.42293,26.71517,57.354477,27.040548,57.257164,27.189518,57.113434,27.163895,56.984394,27.097597,56.91531,27.035875,56.910706,26.955357,56.97504,26.871916,57.134525,26.8952,57.36702,27.070726,57.576317,27.258463,57.72878,27.319096,57.858307,27.209045,58.05167,27.069456,58.17445,27.022718,58.209194,27.04191,58.20274,27.130592,58.166164,27.335386,58.08222,27.660028,57.94997,27.893856,57.844578,27.984407,57.769955,27.988703,57.64436,27.91509,57.365566,27.699776,56.962254,26.69113,56.344265,25.844349,56.066708,25.606916,56.012806,25.52197,56.02194,25.490097,56.09275,25.511314,56.26428,25.625376,56.508224,25.808289,56.633385,25.977175,56.63957,26.097168,56.622826,26.179949,56.628242,26.303555,56.698742,26.639229,56.941254,27.089119,57.261177,27.35729,57.415264,27.410458,57.403507,27.29205,57.184498,27.121532,56.924072,27.002077,56.809254,26.902452,56.79076,26.843203,56.866062,26.962795,57.07965,27.37783,57.376537,27.685772,57.495777,27.785765,57.487644,27.769596,57.362186,27.745571,57.127,27.868237,56.92696,28.05888,56.859203,28.242504,56.85239,40.625156,50.477818,40.736977,50.094917,40.726112,49.953686,40.71212,49.916016,40.69547,49.905178,40.676914,49.89975,40.652283,49.89761,40.61776,49.901276,40.57252,49.911236,40.523193,49.925995,40.470657,49.945816,40.369884,49.989094,40.17191,50.06425,25.317562,54.609566,-21.891876,56.90033
brushing_teeth-322,25.379284,54.691147,42.556366,48.86098,23.56685,10.019971,23.467117,9.299255,23.462345,9.062781,23.463907,9.053313,23.463213,9.1636915,23.462664,9.290939,23.454483,9.335563,23.437801,9.228276,23.432756,9.050327,23.429724,8.8882065,23.425665,8.874972,23.412285,9.065162,23.376698,9.34439,23.37214,9.580694,23.314157,9.654944,23.088867,9.613164,22.090448,8.886013,21.454042,8.4120655,21.255936,8.321354,21.177908,8.344055,21.164843,8.408909,21.15776,8.434563,21.134226,8.338727,21.062433,8.019336,20.957281,7.579699,20.906313,7.3927855,20.872665,7.331587,20.831768,7.301269,20.754519,7.2326717,20.605618,7.0435944,18.207825,4.667574,17.545584,4.2346244,17.158976,4.079138,16.979055,4.0414224,16.89203,4.0441713,16.803654,4.0276074,16.691452,4.002444,16.584055,4.0129085,16.514547,4.0749683,16.472353,4.1964927,16.407125,4.449231,16.316961,4.794347,16.269371,4.9951897,16.225792,5.0891614,16.14262,5.1460876,16.024221,5.2214875,15.876024,5.292143,4.1284785,4.7778034,4.003701,5.510866,4.124526,5.940216,4.1732025,6.0427737,4.178635,6.046881,4.1685224,6.0255938,4.1643963,6.02204,4.17553,6.048027,4.1909285,6.0887027,4.199573,6.117024,4.196048,6.1020174,4.1769705,6.0479717,4.1463995,5.9766245,4.1189537,5.9154716,4.1121745,5.887124,4.1111565,5.8731794,4.079218,5.820714,3.9483554,5.645394,3.630992,5.2853994,3.4084146,5.0772,3.327488,5.0161977,3.2999108,4.997646,3.2997475,4.998798,3.3189979,5.0151505,3.3643079,5.0496435,3.4855592,5.1400366,3.8591743,5.3620844,4.3653464,5.5084853,4.6175747,5.4775023,4.7437224,5.429224,4.887085,5.3673954,18.526615,5.637174,18.253304,5.278175,17.902277,4.888307,17.680435,4.664418,17.512613,4.4962683,17.30216,4.249797,17.005417,3.907494,16.720446,3.5819926,16.604563,3.42951,16.58049,3.3988233,16.609005,3.4481988,16.69767,3.5760977,16.849747,3.7881927,17.026794,4.0975895,17.203506,4.624404,17.26122,5.3749857,17.338205,6.3734765,17.406258,6.8813357,17.428156,7.078117,17.43321,7.1626153,17.43428,7.1990714,17.435646,7.2076387,17.4375,7.199804,17.440683,7.1976094,17.44892,7.2707705,20.44573,15.70306,14.804563,25.714005,-5.4099765,38.72304
brushing_teeth-714,3.9498215,62.24093,11.333373,55.632435,49.297707,18.432802,49.268322,18.634401,49.267677,18.679989,49.289654,18.662682,49.30818,18.623287,49.324368,18.582413,49.334206,18.56114,49.33823,18.56775,49.335815,18.598486,49.330532,18.652496,49.324413,18.728094,49.316628,18.816994,49.30981,18.912622,49.298016,19.015366,49.274994,19.122923,49.242466,19.231567,49.20798,19.322594,49.18131,19.39024,49.162083,19.439623,49.14333,19.482817,49.12106,19.52763,49.09225,19.577421,49.055855,19.630882,49.01177,19.68646,48.957756,19.74727,48.9002,19.826494,48.850075,19.946217,48.820984,20.103905,48.83868,20.257902,48.752026,20.201681,48.687702,20.180958,48.533894,20.127266,48.09943,19.991549,47.06424,19.568508,46.545494,19.309221,46.2251,19.10829,45.945255,18.891972,45.74398,18.709482,45.64099,18.599548,45.63357,18.58381,45.76843,18.70242,46.076115,18.97055,46.31342,19.169476,46.343834,19.194002,46.163177,19.051233,45.805862,18.724766,45.437824,18.377386,45.198746,18.155352,45.101315,18.06578,45.05661,18.023075,45.015152,17.982395,44.965282,17.93347,44.912582,17.882618,44.87782,17.854258,44.890644,17.885914,44.954,18.001926,45.03519,18.262787,45.062847,18.647148,45.019985,18.948824,44.952145,19.142254,44.879364,19.281004,44.781567,19.422272,44.598927,19.608276,44.261234,19.81885,43.85374,19.932173,43.45933,19.919922,43.12722,19.846304,42.889816,19.76774,42.699738,19.690617,42.518932,19.608585,42.35882,19.5329,42.244377,19.489555,42.16896,19.478811,42.11922,19.481321,42.08637,19.485943,42.065643,19.487148,42.053463,19.48578,42.045914,19.482834,42.043957,19.478073,42.050488,19.464418,42.074154,19.416035,42.13601,19.226362,42.303734,18.605576,42.539,17.831852,42.673008,17.448399,42.739826,17.233364,42.785305,17.049416,42.82278,16.83529,42.840824,16.577438,42.829468,16.362667,42.807617,16.241678,42.783276,16.17773,42.75389,16.14742,42.71874,16.145613,42.669136,16.177748,42.55753,16.288948,42.30807,16.582087,42.01248,17.07975,41.76085,17.727962,41.387344,18.920076,41.364594,19.194826,41.374676,19.247965,41.3711,19.278227,41.31337,19.32485,11.348406,55.554806,3.8927639,62.15509
brushing_teeth-745,-27.311716,68.976204,-42.253117,20.739368,-36.205616,19.854273,-35.760384,18.562023,-35.7004,18.310442,-35.68686,18.245653,-35.6826,18.233278,-35.688217,18.267416,-35.713943,18.38259,-35.794888,18.661901,-36.086414,19.382814,-36.43408,20.244564,-36.566868,20.589008,-36.617184,20.799652,-36.642002,21.04082,-36.675713,21.324516,-36.708347,21.503708,-36.7132,21.553593,-36.676563,21.486113,-36.588696,21.26933,-36.475662,20.971075,-36.398968,20.774519,-36.360596,20.694868,-36.375584,20.762993,-36.45987,21.038542,-36.611515,21.556858,-36.682198,21.8385,-36.695435,21.959623,-36.681374,22.070953,-36.66932,22.244005,-36.687195,22.467487,-36.737602,22.751152,-36.840714,23.158825,-37.384434,25.321527,-37.50843,25.688635,-37.555534,25.789175,-37.623734,25.783117,-37.78399,25.688042,-38.03485,25.498072,-38.16901,25.33634,-38.209908,25.185202,-38.25406,25.065702,-38.336884,25.018232,-38.403687,25.02311,-38.431988,25.020973,-38.440487,24.967205,-38.44717,24.85549,-38.45931,24.742764,-38.493374,24.700521,-38.555527,24.732906,-38.64061,24.804537,-38.701927,24.867928,-38.71262,24.892506,-38.666134,24.875597,-38.534107,24.779224,-38.27637,24.545725,-38.070187,24.337027,-37.966537,24.233995,-37.91489,24.237831,-37.8801,24.344658,-37.806877,24.481504,-37.701664,24.535488,-37.568287,24.397327,-37.227146,24.018442,-36.87958,23.737856,-36.771244,23.680029,-36.76982,23.760536,-36.799313,24.080128,-36.766087,24.891981,-36.751747,25.165688,-36.75857,25.17535,-36.765068,24.913816,-36.69843,24.051283,-36.643692,23.678802,-36.641457,23.63218,-36.720818,23.832699,-36.87582,24.755835,-36.856026,25.614143,-36.832794,25.765049,-36.846222,25.741806,-36.89836,25.54585,-37.022984,24.944326,-37.066437,24.615118,-37.086636,24.535551,-37.22263,24.688454,-37.424763,25.017326,-37.48647,25.219097,-37.467655,25.259075,-37.40205,25.165154,-37.23512,24.867702,-37.028084,24.4594,-36.92486,24.217506,-36.869526,24.035856,-36.823658,23.83972,-36.77122,23.5827,-36.700726,23.250818,-36.581882,22.804768,-36.34223,22.081112,-36.1553,20.969814,-36.075764,20.324993,-35.950237,19.811007,-35.818916,19.300922,-35.742245,18.96287,-35.716232,18.813467,-35.77901,18.986914,-36.1666,19.99356,-42.22512,20.801373,-27.326897,68.94932
