id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1,t30d0,t30d1,t31d0,t31d1,t32d0,t32d1,t33d0,t33d1,t34d0,t34d1,t35d0,t35d1,t36d0,t36d1,t37d0,t37d1,t38d0,t38d1,t39d0,t39d1
d0.95lr0.1-0,54.016953,181.83768,44.526768,154.09259,38.021797,119.9657,29.743889,107.01223,60.851173,56.829323,66.307434,38.414726,95.65586,21.273584,163.5353,26.288176,243.63307,189.00443,179.46295,198.56798,154.4184,358.77914,28.6731,271.03607,-31.975792,194.35788,-32.161774,167.79453,-25.134823,141.73448,-22.15307,103.20494,-17.277802,51.918633,-7.832266,-16.623905,15.999121,-60.452568,12.811084,-76.021255,34.4624,-75.06644,69.35207,-68.01103,83.57731,-47.927727,112.40968,-24.215088,154.08572,-12.245331,152.81944,0.8944803,154.18372,7.0151477,140.53842,53.850533,151.00954,32.313633,153.49872,54.204117,148.38635,76.12891,133.17352,87.275696,137.598,105.389725,141.73535,123.11069,130.26518,134.09865,128.88777,143.59221,129.04259,142.13628,135.16805,128.47612,170.4515,51.98527,131.60913,132.67738
d0.95lr0.1-1,-160.21683,297.05005,-152.67014,287.63956,-141.23477,269.4842,-126.67343,245.40106,-111.078896,216.69643,-94.12703,185.94487,-78.603874,154.54622,-64.02974,127.46859,-47.9209,102.814705,-29.764942,77.97815,-28.385098,20.613644,-30.382751,-63.167213,-5.76633,-63.736797,11.779213,-91.71679,68.115906,-51.789497,117.04008,-39.942257,137.27414,-56.12013,149.46626,-75.66237,159.63297,-97.09302,164.43701,-110.35708,164.64725,-115.84705,157.85294,-112.34984,143.71182,-102.093185,123.31248,-92.47386,98.61431,-86.523926,69.78667,-77.17736,42.66531,-78.04689,16.286377,-89.172516,8.091236,-109.911316,6.0139775,-142.01445,12.643729,-177.4412,15.493866,-218.18924,28.747662,-244.65631,37.86126,-259.30664,40.750893,-260.84766,41.06657,-252.6349,41.980442,-239.07231,43.69765,-225.67636,45.726406,-212.59196,45.384216,-204.90099
d0.95lr0.1-2,-38.942543,22.378872,-27.698944,21.385544,-12.248033,16.456581,1.5222383,11.0566025,34.03401,-8.956607,62.360237,-26.720594,84.80867,-33.850967,93.76788,-49.68314,95.191986,-63.024117,115.31642,-59.43885,198.91502,-45.625214,188.92151,-31.434008,227.21283,6.0313106,186.61023,66.30195,104.44241,84.78399,98.90221,110.329704,-56.82854,95.251396,-89.41756,46.055336,-94.47424,12.451044,-110.63252,-11.227757,-119.92254,-39.48566,-99.1925,-75.26527,-70.88451,-113.97954,-41.672775,-147.77249,-11.586237,-169.69641,15.595167,-182.14552,-5.1421413,-185.79373,20.677368,-186.51149,35.83921,-187.06078,30.2465,-187.4522,-1.3280985,-186.56023,-43.667572,-175.55106,-52.41923,-146.27377,-72.65491,-119.64429,-64.96062,-86.3371,-57.69764,-69.82826,-69.006165,-30.222702,-57.770054,-31.530981,-57.14842,-13.927644,-57.769012,-5.4355497
d0.95lr0.1-3,66.59923,170.754,67.44391,177.32504,63.513462,183.78357,19.774994,204.60956,46.77377,197.03906,38.02638,198.46796,31.091835,195.45761,27.366674,185.06023,30.138233,160.57094,35.56569,155.48927,45.993587,156.71085,44.380318,166.39995,43.253143,177.98355,27.647217,190.52078,-13.958227,253.631,-101.23155,381.5222,-25.335396,298.26215,-9.640071,271.25745,-53.04645,285.346,-95.4308,298.3747,-139.57794,299.9282,-158.11734,288.4216,-148.41489,273.7969,-116.639366,231.95653,-65.816414,169.78706,-10.755504,94.26609,63.964024,-2.6568463,129.3661,-83.347275,191.0836,-144.96297,238.64783,-169.92805,268.3495,-163.64871,280.4519,-135.94241,277.84613,-94.91771,261.99692,-44.037437,238.82098,10.753,207.95454,57.626003,172.739,106.43589,158.40407,148.00397,148.81152,164.9949,141.54968,165.86095
d0.95lr0.1-4,-97.98841,-281.3844,-133.96056,-213.43118,-130.2371,-201.11302,-172.15204,8.625172,-182.55048,76.95254,-174.78755,89.44056,-163.38477,101.871445,-150.44438,117.2144,-135.7163,130.30717,-106.00468,153.53442,-80.16636,172.75427,-37.88924,160.43633,-39.11708,145.3502,-9.087756,94.64886,17.318274,51.415257,39.471767,32.588688,58.20091,30.638838,73.51332,42.303894,87.85196,61.8295,71.5273,57.584488,114.176994,105.013794,124.0224,119.2584,117.033325,123.46752,79.114426,131.0374,29.461935,134.44926,43.693596,161.6501,67.7364,209.1413,-54.803196,130.9595,-155.47586,-8.137512,-135.18845,18.874008,-104.74839,-165.02664,-63.495262,-615.7535,-17.503126,-312.28018,-7.8526835,-187.64888,-14.666187,-204.62155,-22.282576,-225.86375,-30.96494,-243.40758,-42.23337,-256.86017,-47.97224,-262.77634,-48.67729,-265.58478
d0.95lr0.1-5,89.299225,159.24261,91.37254,151.76286,149.25314,167.56938,115.72771,128.2388,131.55235,118.541794,134.67354,112.42032,132.45781,100.56645,118.27462,90.164154,110.405304,88.453445,113.79181,85.99586,116.49172,81.182076,124.613716,74.54237,138.8764,61.819103,148.79158,49.773636,159.39839,39.580116,173.14537,28.424973,195.2684,-0.082037926,256.2059,-78.337616,331.65015,-167.97556,354.87186,-200.27742,389.09314,-258.4143,350.23944,-239.93054,284.1938,-207.87352,225.31393,-192.24059,167.8431,-173.59152,101.576195,-153.38226,31.303055,-97.97645,-4.9183326,-30.36321,-45.7175,-31.045477,-81.80672,-20.729637,-298.3349,-35.029118,-109.67748,-26.064257,-101.714134,-45.986263,-80.166534,-52.32996,-76.74606,-66.03647,-91.09569,-82.49651,-168.1048,-135.82886,-82.86921,-114.03981,-75.532295,-117.04137,-67.54984,-124.95842
d0.95lr0.1-6,40.72213,124.61852,40.545742,116.20958,37.843506,96.706314,31.655258,73.48251,-8.850565,106.92583,-293.7063,378.31952,-33.58487,87.18076,-9.398922,40.716335,-7.1125174,19.873009,1.1126227,20.19305,57.10442,47.317913,54.240173,17.30654,66.31877,40.53219,75.7268,26.751373,84.27979,26.092419,92.931305,24.17983,100.698,15.429645,110.15265,1.5120488,114.7597,-19.544292,117.63912,-45.4041,123.37314,-71.84843,126.20554,-97.42077,126.17337,-122.70786,124.01665,-143.86505,118.882675,-162.28493,115.47571,-179.81773,109.572105,-193.0655,97.6607,-202.12794,99.56984,-212.06984,86.67649,-216.82268,75.481415,-217.27757,57.918404,-212.97214,42.644558,-206.56604,29.113335,-197.37411,16.357553,-182.93063,16.575935,-163.94087,59.57364,-171.46538,85.407936,-210.50807,62.70354,-126.30339,128.98843,87.92891
d0.95lr0.1-7,206.24356,87.557465,203.3728,88.50844,198.98253,85.65406,188.64806,75.986,164.76361,55.46892,136.05618,6.769976,87.874146,-44.00322,11.65024,-91.98525,-47.0848,-116.837875,92.376015,-579.9944,-92.70068,-94.33685,-35.505165,41.568817,-53.73091,-67.31119,-23.236578,-72.62301,26.444195,-66.90674,73.34917,-58.496445,115.42623,-48.777756,151.01227,-29.130291,172.80534,-20.930557,187.94928,-9.372271,190.88261,2.288276,186.53795,12.642787,181.48059,17.3112,181.33731,31.165865,183.08736,43.596268,186.34216,53.547115,189.9812,59.86806,193.03804,61.02672,190.51585,72.38777,182.17606,73.87036,166.70505,77.31834,140.62065,78.994545,94.25915,82.42769,56.787666,86.43498,13.267882,71.50578,-19.459946,57.84415,-61.39363,38.196423,-74.48061,20.00178,-92.16048,9.9786625,-101.21343,9.343479
d0.95lr0.1-8,2.1557548,194.90018,4.4612665,191.3695,13.497372,187.29764,-15.64065,183.65337,-18.673569,170.27328,3.7709818,167.81055,19.958418,174.33878,31.68448,168.53429,38.154152,169.67429,27.064785,176.76196,20.09825,180.27184,15.176053,169.74666,5.3354588,189.87032,-3.022508,191.23782,-10.946127,187.98763,-21.430836,175.48009,-35.27639,153.31725,-44.76571,119.23134,-52.764336,118.92815,-140.98677,176.92801,-140.4291,175.43385,-146.98477,180.26608,-43.526253,120.22316,-8.993441,97.185326,3.4578013,77.88845,2.1382473,54.444855,-0.12574649,30.15162,-11.047874,1.5745621,-31.88834,-21.767296,-76.110535,-29.796843,-100.74519,-31.368805,-111.564514,-53.395695,-129.27512,-57.703087,-116.26349,-66.863525,-83.17896,-56.627964,-44.031197,-54.168205,-11.521688,-32.74526,6.0841684,1.489294,6.6558223,36.68949,18.437325,61.135693
d0.95lr0.1-9,108.15655,-89.43957,101.28742,-86.03064,87.56157,-79.24544,53.413406,-60.870968,25.573868,-42.457497,33.66553,-47.357704,42.117085,-58.070953,25.083776,-60.606567,15.239925,-56.595604,30.059284,-70.70928,59.464493,-94.474846,117.42837,-112.48137,85.786125,-105.06526,87.271324,-98.18418,96.45346,-91.01136,282.3748,-132.9946,279.71332,-191.20609,236.67126,-243.76842,20.609367,-259.1314,-76.42891,-197.44229,-94.54823,-52.58696,-86.60354,-8.519953,-81.36339,-0.24010968,-66.74366,17.73096,-31.808163,22.08181,-15.487005,38.110744,9.529573,70.3783,3.7874646,83.33665,-6.6690645,104.04101,-37.65978,111.68045,-52.75853,83.79089,-76.57178,80.64759,-78.41323,57.53345,-60.63921,46.144806,-44.476555,50.10618,-42.814064,30.559856,-22.257019,53.327404,-23.690533,31.97575,-45.463833,-11.028618,-143.7265,-170.62471
