id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1
ankleboot-36,-0.9181395769119263,-0.40435877442359924,-0.8914573788642883,-0.4344155490398407,-0.871229350566864,-0.40246331691741943,-0.823029637336731,-0.4357944428920746,-0.8082749247550964,-0.3871269226074219,-0.8199441432952881,-0.4230363368988037,-0.8667813539505005,-0.38869714736938477,-0.8116183280944824,-0.4108966886997223,-0.8395527601242065,-0.4168478548526764,-0.8419413566589355,-0.41130709648132324
ankleboot-52,-0.5800527334213257,-0.35509732365608215,-0.7204015254974365,-0.34119826555252075,-0.6374819874763489,-0.43212977051734924,-0.641329824924469,-0.31037768721580505,-0.6297156810760498,-0.40382781624794006,-0.5848367810249329,-0.37460628151893616,-0.6127296686172485,-0.3716796934604645,-0.5811611413955688,-0.40501460433006287,-0.5816935300827026,-0.411980539560318,-0.5908311009407043,-0.4001973569393158
ankleboot-55,-0.9865837693214417,-0.33834460377693176,-1.00785493850708,-0.4017570912837982,-1.0147205591201782,-0.35204944014549255,-0.9580401182174683,-0.3738534152507782,-0.9824941158294678,-0.41938507556915283,-0.9837000370025635,-0.404256135225296,-1.011605978012085,-0.3952748477458954,-1.0323576927185059,-0.4172067940235138,-1.0459734201431274,-0.40335819125175476,-1.0577372312545776,-0.39832088351249695
ankleboot-56,-0.6674966812133789,-0.07955583930015564,-0.6638662815093994,-0.051847632974386215,-0.7318195700645447,-0.08345325291156769,-0.6550835371017456,-0.07150016725063324,-0.584300696849823,-0.08788147568702698,-0.6535276770591736,-0.12370471656322479,-0.6803484559059143,-0.11797091364860535,-0.6939743757247925,-0.1135006994009018,-0.6967468857765198,-0.11235056817531586,-0.6818277835845947,-0.10765381157398224
ankleboot-67,-0.7075941562652588,-0.04294963553547859,-0.7190702557563782,-0.04703332856297493,-0.8096582889556885,-0.0754854679107666,-0.7675424814224243,-0.08172443509101868,-0.80082768201828,-0.07481132447719574,-0.8190730810165405,-0.1286555826663971,-0.8140822649002075,-0.1479009985923767,-0.8487348556518555,-0.1408826857805252,-0.8298455476760864,-0.13684678077697754,-0.8405216336250305,-0.1392461359500885
ankleboot-80,-1.1687623262405396,0.18809501826763153,-1.3085943460464478,0.09047013521194458,-1.2819617986679077,0.1464143842458725,-1.2338169813156128,0.09010738134384155,-1.2033597230911255,0.1352747231721878,-1.2526477575302124,0.13191017508506775,-1.2956464290618896,0.04793309420347214,-1.3144298791885376,0.05909644439816475,-1.3347798585891724,0.06377914547920227,-1.3208245038986206,0.06765973567962646
ankleboot-86,-1.0272798538208008,-0.25859078764915466,-0.9922803640365601,-0.25772824883461,-0.979698657989502,-0.21441873908042908,-0.9174312353134155,-0.2409650683403015,-1.0709865093231201,-0.33526134490966797,-1.008867621421814,-0.2875469923019409,-1.0279357433319092,-0.2948649525642395,-1.0172042846679688,-0.28280070424079895,-0.9901753664016724,-0.28284868597984314,-1.003062129020691,-0.28920605778694153
ankleboot-100,-1.4684752225875854,0.194351926445961,-1.532070517539978,0.2883165180683136,-1.4161001443862915,0.26537466049194336,-1.4534250497817993,0.19775643944740295,-1.6226322650909424,0.22810184955596924,-1.553014874458313,0.14223922789096832,-1.644942045211792,0.1545817255973816,-1.6426366567611694,0.14481580257415771,-1.6040116548538208,0.14058034121990204,-1.6286817789077759,0.1332220882177353
ankleboot-102,-0.9057891368865967,-0.21045581996440887,-0.9015539288520813,-0.20362231135368347,-0.9800208806991577,-0.29232069849967957,-0.9094245433807373,-0.23121130466461182,-0.8792049884796143,-0.24574163556098938,-0.8998651504516602,-0.2687307894229889,-0.913703203201294,-0.27998700737953186,-0.9464701414108276,-0.2538025975227356,-0.9349331259727478,-0.2633057236671448,-0.9366914629936218,-0.2633492648601532
ankleboot-132,-1.8986777067184448,-0.2283911108970642,-1.9702157974243164,-0.02789793536067009,-1.9625378847122192,-0.049105625599622726,-1.9750553369522095,-0.10983455181121826,-1.9308394193649292,-0.054813202470541,-1.847923994064331,-0.10742741823196411,-2.0114266872406006,-0.09374557435512543,-2.153717041015625,-0.09670761227607727,-2.1379308700561523,-0.10179176926612854,-2.1330082416534424,-0.10690593719482422
ankleboot-134,-0.4863521456718445,-0.22830119729042053,-0.5324025750160217,-0.22794494032859802,-0.47138047218322754,-0.24110737442970276,-0.47220349311828613,-0.22860342264175415,-0.479203999042511,-0.23551639914512634,-0.47307664155960083,-0.2269720435142517,-0.5063328146934509,-0.25849127769470215,-0.48838216066360474,-0.26567479968070984,-0.4933541417121887,-0.27392706274986267,-0.48734402656555176,-0.2664535939693451
ankleboot-154,-0.5491507053375244,-0.05380237475037575,-0.7240623235702515,-0.08982919156551361,-0.6844985485076904,-0.19079020619392395,-0.6600691080093384,-0.161160409450531,-0.6875787973403931,-0.20769032835960388,-0.6618516445159912,-0.15826630592346191,-0.6674618124961853,-0.17596018314361572,-0.6686635613441467,-0.13262265920639038,-0.6853997111320496,-0.14852383732795715,-0.6962553262710571,-0.14680258929729462
ankleboot-158,-0.5024773478507996,-0.14266273379325867,-0.5355871319770813,-0.18515881896018982,-0.502143919467926,-0.17595000565052032,-0.5394346714019775,-0.23764297366142273,-0.5499016642570496,-0.21272516250610352,-0.5269761085510254,-0.24459689855575562,-0.5429238080978394,-0.2563689053058624,-0.5158310532569885,-0.23688209056854248,-0.5240957736968994,-0.25594332814216614,-0.5218404531478882,-0.25202086567878723
ankleboot-172,-1.2632426023483276,0.3634159564971924,-1.1694554090499878,0.3551332950592041,-1.4096198081970215,0.22831767797470093,-1.3453539609909058,0.173997700214386,-1.3000928163528442,0.20482800900936127,-1.405042290687561,0.10718421638011932,-1.4158326387405396,0.16544032096862793,-1.4662894010543823,0.1581331342458725,-1.4489792585372925,0.13565464317798615,-1.4544669389724731,0.1284283697605133
ankleboot-179,-1.516515851020813,0.05113106220960617,-1.5274308919906616,0.009199239313602448,-1.5573651790618896,0.04452626034617424,-1.6694637537002563,-0.017050553113222122,-1.5936837196350098,-0.02242284268140793,-1.611245036125183,-0.017777614295482635,-1.535237431526184,-0.0308392196893692,-1.6554778814315796,-0.04518820717930794,-1.646426796913147,-0.010758593678474426,-1.6519581079483032,-0.011966001242399216
