id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1
ankleboot-36,11.54642,9.555725,12.394377,10.12236,11.513365,9.617821,11.90374,10.497173,11.298797,10.134735,11.714157,10.767995,11.299962,10.313845,11.422901,10.660525,11.22065,10.641407,11.196136,10.609549
ankleboot-52,10.290171,10.69571,10.900248,10.861836,10.152584,10.849868,10.58662,10.528559,9.983179,11.669115,10.388996,10.854442,10.063343,11.672285,10.028664,11.042484,9.867586,11.763567,9.871733,11.157532
ankleboot-55,12.497014,8.205559,11.735786,7.8552375,12.543644,8.623982,12.062012,8.0692425,12.402543,9.05732,12.117084,8.417296,12.2834635,9.24253,12.039955,8.763203,11.965804,9.158319,11.908865,8.912319
ankleboot-56,10.275485,7.3250976,10.494761,7.709447,10.290717,8.569428,10.204676,8.666381,10.080383,9.159857,10.45406,9.036418,10.282272,9.279589,10.501572,9.12371,10.231798,9.430719,10.405316,9.26649
ankleboot-67,11.061793,8.164523,11.232089,8.121216,10.8428955,8.553604,11.073299,8.212532,10.720907,8.487811,10.725222,8.568787,10.81683,8.534569,10.6644125,8.648754,10.650633,8.600384,10.568708,8.721245
ankleboot-80,12.231787,5.2939034,12.518367,4.9668803,12.140033,5.2982497,12.5550785,5.084132,12.174878,5.539115,12.163964,5.7766294,12.985965,5.3402653,12.174774,6.0882597,13.055666,5.3961363,12.407353,5.899161
ankleboot-86,12.076854,7.6331654,11.837663,8.60069,12.069866,7.5032835,11.9842005,7.888131,12.27437,8.242758,11.941743,7.9559727,12.150911,8.287887,11.873552,8.145263,11.911072,8.416698,11.85161,8.20243
ankleboot-100,13.226966,4.137686,12.657329,4.3870587,13.300528,4.028329,13.024283,4.6498694,13.49977,4.2712765,13.224214,4.985646,13.563506,4.4404182,13.372502,5.087345,13.635555,4.563793,13.530858,4.988389
ankleboot-102,11.8820095,8.248744,11.989294,7.9290886,12.07481,8.422802,11.846304,8.047504,11.700314,8.484674,11.715344,8.357436,11.42312,8.871887,11.598251,8.43742,11.238194,8.799882,11.322276,8.600672
ankleboot-132,14.108572,4.2101192,14.021552,4.5182433,14.065613,4.4070926,14.334274,4.842936,14.332191,4.744239,14.2294235,5.2108088,14.653528,4.9939466,14.617565,5.276669,14.813614,5.1380057,14.671295,5.306455
