id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1
ankleboot-36,71.27832,49.473698,72.473434,50.136925,71.626686,50.220665,72.28688,49.29925,72.176056,49.58969,71.98762,49.493587,71.98134,49.514996,72.01296,49.57901,72.0155,49.547775,72.01429,49.552982
ankleboot-52,80.75893,40.544346,81.24649,41.078766,80.84379,41.77157,80.094925,41.30347,80.421364,41.29464,80.54191,41.331413,80.50091,41.310204,80.50943,41.29336,80.52846,41.294476,80.51458,41.303047
ankleboot-55,63.748642,48.32879,62.628693,49.762436,63.50231,49.90691,64.03277,49.04882,63.065784,49.38618,63.40952,48.894226,63.38744,49.09807,63.37505,49.086487,63.343605,49.067112,63.33252,49.07444
ankleboot-56,66.490654,39.86635,66.836395,40.60044,67.620476,40.557625,67.08298,39.455135,67.667656,39.889057,67.25383,39.898693,67.327286,39.851036,67.276726,39.905396,67.28278,39.907547,67.29226,39.91407
ankleboot-67,63.01444,36.89948,62.44251,38.23922,63.42391,37.96147,61.921223,37.561237,62.463448,37.177177,62.825905,37.565247,62.689182,37.653114,62.728786,37.589775,62.728027,37.62059,62.727116,37.603985
ankleboot-80,37.956497,53.806763,38.83457,55.021515,38.25667,54.612045,39.24318,54.43953,39.319218,53.88398,38.690975,53.818123,38.76841,54.033676,38.787918,54.13642,38.765694,54.127987,38.772438,54.107796
ankleboot-86,58.82192,47.644875,57.411057,47.987923,57.52591,47.110146,58.338776,46.86239,57.855606,47.986076,58.216354,47.537212,58.189762,47.42121,58.154476,47.39768,58.110676,47.447823,58.124245,47.43923
ankleboot-100,32.40697,61.58086,31.02649,61.212673,31.963457,61.156147,31.026304,61.946415,31.859428,62.175926,31.694262,61.587353,31.7625,61.815414,31.846292,61.748135,31.778522,61.804607,31.781372,61.80697
ankleboot-102,64.481224,42.239983,63.245228,41.95391,63.417732,42.99761,64.18297,42.957935,63.843365,41.846947,63.71412,42.38639,63.88295,42.373173,63.73941,42.426323,63.74953,42.42676,63.74126,42.42672
ankleboot-132,36.753334,70.28533,35.45895,70.135506,36.53879,71.207375,35.703247,71.30228,35.448746,70.722466,36.35504,70.56313,35.950653,70.545135,36.00697,70.60374,35.975296,70.58491,35.969967,70.57744
ankleboot-134,79.63374,38.379078,79.37454,37.588272,78.696846,37.642773,78.873146,38.64203,78.85347,38.35385,78.8873,38.111835,78.90658,38.211437,78.91576,38.17859,78.88721,38.169697,78.887085,38.176807
ankleboot-154,68.66175,37.972828,68.36431,37.261814,69.25839,37.800213,68.76262,36.926548,69.42128,36.688393,69.33536,37.09637,69.28171,37.103657,69.23955,37.131866,69.217064,37.12849,69.234924,37.130684
ankleboot-158,76.91222,36.75874,75.898865,37.814396,76.0566,37.138554,76.54389,38.006542,76.87868,37.49434,76.57463,37.61557,76.55163,37.555138,76.540184,37.5582,76.55912,37.546127,76.5565,37.55985
ankleboot-172,31.588818,56.162186,32.40168,55.356148,32.61355,56.608067,33.374733,56.226288,33.14085,55.281666,32.916122,55.794697,32.612972,55.950027,32.662533,55.957478,32.659683,55.954727,32.67809,55.90853
ankleboot-179,38.96609,59.770233,38.387638,60.747986,39.75778,60.975216,39.0243,61.323097,39.63013,60.461445,39.072033,60.601612,39.01245,60.59783,39.161396,60.782314,39.105724,60.762302,39.12097,60.767162
ankleboot-180,13.522972,41.784172,13.159664,43.31044,12.708244,42.149803,14.010416,42.557518,12.581524,42.770004,13.342766,42.78679,13.30328,42.442104,13.217362,42.632244,13.220033,42.641994,13.210771,42.656082
ankleboot-183,42.35647,69.97957,43.01156,70.83908,41.657448,71.36628,42.514915,71.50072,42.00972,70.83628,42.333904,70.8833,42.357365,70.77381,42.28922,70.74896,42.257397,70.776184,42.264942,70.780396
ankleboot-191,15.889157,64.681274,17.001108,65.49344,16.562325,64.21367,17.107143,64.756485,16.063826,65.56503,16.347902,65.25173,16.426981,65.01428,16.49922,65.1567,16.506292,65.13475,16.50307,65.14841
ankleboot-199,68.95442,34.15145,69.494286,34.78648,68.26129,34.40134,68.303955,35.103447,69.05299,35.085,68.67495,35.01943,68.71026,35.001324,68.74714,35.043125,68.731285,35.042973,68.73374,35.04399
ankleboot-209,53.51473,48.166378,52.604465,49.298515,53.39153,49.123707,52.35745,48.112854,52.34552,48.714558,52.941505,48.409485,52.886032,48.596893,52.881958,48.458755,52.85976,48.51971,52.845577,48.4955
ankleboot-214,16.70007,72.96747,16.711742,73.779686,17.403719,74.08673,17.888443,73.492294,17.25727,72.827,17.3347,73.31555,17.38331,73.3252,17.379557,73.33231,17.460781,73.32843,17.447845,73.32951
ankleboot-216,65.96639,36.5168,65.47608,35.24128,66.082825,34.9765,66.58915,35.44302,65.941696,35.76881,66.19061,35.859306,66.16005,35.64268,66.190704,35.655697,66.18252,35.645576,66.18564,35.65667
ankleboot-230,27.555508,66.67499,25.663507,66.76472,26.847633,67.749245,26.414825,66.59563,25.960762,67.48258,26.540304,67.30008,26.387135,67.25817,26.339695,67.213135,26.296759,67.25618,26.30068,67.26792
ankleboot-234,57.692577,50.276836,59.09605,50.24722,58.902065,49.582966,58.421215,50.592495,57.913734,49.75884,58.39158,49.89283,58.456467,49.763996,58.39581,49.769154,58.393097,49.77898,58.397026,49.771496
ankleboot-238,71.17895,40.233006,72.31048,39.13941,71.45644,39.702335,71.85466,40.548035,72.45309,39.90089,72.14753,40.053627,72.02735,39.89841,71.993645,39.91399,72.01182,39.921906,72.01824,39.92927
ankleboot-257,80.6055,30.401659,80.62325,31.40938,79.731064,31.186287,80.37253,30.910269,80.106804,30.941574,80.176544,30.93573,80.1397,30.932505,80.17637,30.92717,80.15854,30.923698,80.155205,30.926184
ankleboot-265,41.231834,65.391426,41.619568,67.325935,41.939037,65.87535,40.995995,65.98967,41.202564,66.814644,41.73928,66.45816,41.417362,66.63303,41.273193,66.37634,41.330544,66.472015,41.321857,66.50647
ankleboot-267,35.827934,54.96229,36.761528,54.5123,35.783733,53.409645,36.318485,53.66144,35.247932,54.071793,35.510437,54.527153,35.983585,54.298607,35.866737,54.335793,35.853336,54.32761,35.845966,54.30729
ankleboot-278,66.12497,51.450657,66.72505,50.03524,65.884605,50.35111,66.93411,51.01831,66.20518,50.881725,66.42346,50.750553,66.41702,50.691216,66.40691,50.64423,66.41065,50.654472,66.41188,50.657288
ankleboot-318,26.250378,39.672882,25.81257,38.898273,25.77973,40.450535,24.986042,39.149876,25.126041,40.057507,25.74777,39.665203,25.520124,39.615902,25.452913,39.55074,25.42202,39.55036,25.410553,39.568817
ankleboot-332,21.151682,42.062862,20.555819,40.53176,21.428543,41.537724,20.030191,41.015274,20.535574,41.615067,20.974874,40.922607,20.835718,41.22437,20.626003,41.1328,20.683403,41.16132,20.666515,41.143723
ankleboot-344,54.548542,53.452644,54.14511,54.309677,55.545124,54.13994,54.91104,54.789803,55.196598,53.8674,54.82706,54.25864,54.862194,54.209534,54.825912,54.179726,54.843414,54.178463,54.848766,54.19204
ankleboot-346,64.35306,45.074646,64.98507,45.753727,63.62602,45.39327,63.678513,46.203636,64.452255,46.31831,64.43454,45.909557,64.14178,45.6596,64.12346,45.78545,64.15714,45.802547,64.13864,45.799614
ankleboot-350,48.67013,40.551044,47.745445,40.388626,47.283478,41.076195,47.909386,41.80411,48.405933,41.371124,47.971622,40.977173,48.042522,41.13005,48.09672,41.13238,48.05198,41.15686,48.05106,41.15537
ankleboot-359,73.27334,43.052204,72.03573,43.749294,72.27928,43.05718,72.78325,44.080627,72.76273,43.663063,72.90376,43.447407,72.813354,43.522522,72.800865,43.48402,72.75316,43.505264,72.76532,43.50342
