id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1
a-0,-0.7583022198670166,-0.14186254006146634,-0.3919055862129959,-0.4163298328571166,-0.19928266810890194,-0.5230551156225562,-0.11763776615932474,-0.5649002427998464,-0.0806401926120815,-0.5401554518313086,-0.06304688364899291,-0.5108786412263873,-0.05446978712186615,-0.4939086426265668,-0.05023533302925559,-0.4852047428345436,-0.04813153570021518,-0.4808399492427097,-0.04708298314166552,-0.4786590563126328
a-1,-0.17541071907809636,-0.0035545257297698515,-0.12871688598370956,-0.30597729269145296,-0.08324015840688798,-0.4976258964617723,-0.0633601365009525,-0.5817868539850568,-0.05438623637845367,-0.558539569257367,-0.05013512976506868,-0.5223231862823791,-0.048067049119963935,-0.5001240928536168,-0.04704717198793138,-0.48842627951159007,-0.04654074802934693,-0.48247800295293425,-0.046288411406024826,-0.47948476124365463
a-2,-0.8359401611831534,-0.48876020695328964,-0.37386989717697516,-0.4963728837892485,-0.19347114758544154,-0.5661791957978053,-0.11689303462397073,-0.5936923792831703,-0.08089968633563902,-0.5559560197581825,-0.0633431353598992,-0.5189729896798811,-0.05466048957901041,-0.4979913199160795,-0.05034144177691229,-0.4872541939436313,-0.04818729334210015,-0.4818666609812104,-0.04711153949971923,-0.47917290658880995
a-3,-0.5419689434006589,0.1573146070079099,-0.2891554487944633,-0.2547330535740281,-0.15084272704138135,-0.4474107580314126,-0.09414264981101846,-0.546440228060898,-0.06909042231716862,-0.5407011784236648,-0.05732541891165378,-0.513779283993547,-0.051623039511262715,-0.4959727333540642,-0.04881554277183556,-0.48638196113513754,-0.047422547928477235,-0.481463718475907,-0.046728717563460934,-0.4789795855088605
a-4,-0.710717509340559,0.09999964704376901,-0.47658128548618106,-0.248817104708104,-0.2677983003412314,-0.5161525907737553,-0.15638907386319273,-0.612452767066149,-0.10092538014736323,-0.5805079720510543,-0.07339543582147656,-0.5347492111286687,-0.0596932354308355,-0.5066401344876391,-0.052859083578870945,-0.49175243899757864,-0.049446385689427344,-0.48415718768576865,-0.04774114792009521,-0.48032826624640457
a-5,-0.5567023112997469,0.4139552692125064,-0.3683513735441898,-0.12158813016092179,-0.20567268852489765,-0.42490532527481156,-0.12422779099965604,-0.5643531770052186,-0.08470798275885696,-0.5598260277555932,-0.06527029541883549,-0.525648359136992,-0.05562878351992559,-0.5024000093994633,-0.0508266658803817,-0.489706962618123,-0.04843016373040762,-0.48315258141137374,-0.04723303801533155,-0.4798304247333518
a-6,0.058074720968235204,-0.24431372271661472,-0.028551709824914017,-0.374792298610075,-0.03760894189229961,-0.49012539808247957,-0.04195457491393838,-0.5522348109579992,-0.04406280816001858,-0.536114187999328,-0.045070616752399206,-0.5095775207219455,-0.04555932164340962,-0.49344613898530915,-0.04579946484422215,-0.48502082774772953,-0.04591843637989094,-0.48075983070594,-0.04597764139178186,-0.47862195552341696
a-7,-0.1409961452162218,-0.5141586075622514,-0.06127010030950439,-0.457879218566452,-0.043302084196712304,-0.5244632434151799,-0.042711167666756956,-0.5684479974532897,-0.04397145519548776,-0.5444702341152491,-0.04491358515551679,-0.5138307143546541,-0.045453709637028356,-0.4955857753242082,-0.0457399772104485,-0.4860929653648808,-0.04588703369711075,-0.48129635792895054,-0.04596152677636149,-0.47889031856353637
a-8,-0.7451667500255629,0.23999125564431734,-0.38174725522138014,-0.21355000959418635,-0.1980498042478048,-0.41222954827681285,-0.11806525223917515,-0.5209310934811962,-0.08112395110535532,-0.5264421658928965,-0.06335791554731299,-0.5064965622593297,-0.05464283382248372,-0.4923197740134648,-0.05032627165478424,-0.48455518170557194,-0.04817811304450936,-0.48055052439783186,-0.04710654935690623,-0.47852306780896353
a-9,0.47339367458264475,-0.31867653475313606,0.07694560338347096,-0.27405074356805825,-0.0205303887186139,-0.4762615998735403,-0.04113082867477248,-0.5592857759013002,-0.04538154042848655,-0.5384934642411019,-0.04613817128749977,-0.5098582871194033,-0.04619215830947353,-0.4933297343142679,-0.04614027986637446,-0.48489790746975286,-0.046094897395137766,-0.4806822836977518,-0.04606737958946007,-0.4785791801547057
a-10,0.19762200662811827,-0.31712623148961555,0.05298949396679534,-0.2728950972727551,-0.010515916611318926,-0.4558423290030193,-0.031900495081722914,-0.5617873478669935,-0.03985423359037346,-0.5505863404487006,-0.04316335055719791,-0.5190272687431041,-0.04465400890543422,-0.49864628085311014,-0.04535877398082299,-0.4877286379213965,-0.045701068179116344,-0.4821392812987218,-0.045869699843018724,-0.47931789524543233
a-11,0.29506692879172314,-0.34996301438308913,0.061000633084011054,-0.3173711574891731,-0.005839997012442519,-0.4705673453059391,-0.028886993243408533,-0.5554923449086214,-0.0381636852204858,-0.5420204738552615,-0.04227181376224362,-0.5134271908553578,-0.04419669313367381,-0.4955503993213196,-0.04512723406674928,-0.4861117620490834,-0.04558457844469167,-0.4813142497199721,-0.04581127512974155,-0.47890131072156633
a-12,-0.5715065224191425,-0.2719662248128676,-0.2792536958569623,-0.39444624085596264,-0.1552988060429478,-0.4939855882161921,-0.09992831469479804,-0.5471205741658259,-0.07294300687671958,-0.5308240640678148,-0.05949674876080747,-0.506339736695996,-0.05277041449152996,-0.49170899699989745,-0.049404703671481066,-0.484126864436679,-0.04772100185135214,-0.48030702093194433,-0.0468789134958164,-0.47839415780551425
a-13,-0.19839705474568126,0.21963089719733223,-0.1788503526678362,-0.15957028672388102,-0.11227338329496225,-0.38161883474645303,-0.07859218847083105,-0.5035910053755996,-0.06220135823413858,-0.5160877873071448,-0.05409724362885375,-0.5008765754555397,-0.05006243216080413,-0.4894140705511792,-0.048048535081121585,-0.48308085704740134,-0.04704235892915447,-0.4798083132911997,-0.04653945063796857,-0.4781507401535579
a-14,0.14875323090037965,0.2737285348768148,-0.10566544689227769,-0.04345216036398855,-0.10517259147469611,-0.39150372126211586,-0.07978633899647955,-0.5412906271824717,-0.06360118442885128,-0.539255310639562,-0.05495058721063758,-0.5125938801382234,-0.050521666968391346,-0.4952146634088705,-0.04828557752592448,-0.4859585784952205,-0.04716264752754621,-0.4812407343666188,-0.04660002570806003,-0.478865253776189
a-15,0.061271967384223004,-0.5278437862903423,0.030302937894226622,-0.43968442216804104,0.00015529070738290468,-0.5142301394292256,-0.021430726084608814,-0.5672854454483873,-0.03340795032000122,-0.5453995975002504,-0.0396455377630152,-0.5146421279147793,-0.04282236664455153,-0.4960673488476844,-0.04442487902255566,-0.4863512312427745,-0.04522961559750609,-0.48142967710638296,-0.04563284891970265,-0.47895800219294665
a-16,-0.21885092568454304,0.353078178909727,-0.14579253604960732,-0.08203255362782645,-0.09351412414860605,-0.31581227516474353,-0.06941945610848971,-0.4677741638504718,-0.057729864075080475,-0.5011886437052798,-0.05189665136388864,-0.49469974849488013,-0.048971658949978396,-0.48667376188342293,-0.04750561720698982,-0.48179884347079294,-0.04677152795789074,-0.4791893428337016,-0.0464041934786738,-0.4778467566886712
a-17,-0.35116537869850867,-0.4057176914399364,-0.0975153674786039,-0.4615275027895367,-0.04826858507148094,-0.5265210247852949,-0.042989600900828324,-0.5726108211027491,-0.043664104090794235,-0.5478355761839002,-0.04465864042457686,-0.5157893984515236,-0.04530204628408831,-0.4966220607469955,-0.04565822809387933,-0.4866237901776417,-0.045844695419076265,-0.48156475430716617,-0.04593999362218012,-0.47902524013843456
a-18,-0.4929800312150218,-0.6593416601175812,-0.199679246825347,-0.5651526620013522,-0.10533284813898489,-0.5833720648910095,-0.07289692238114398,-0.5956389998030412,-0.058951942916028094,-0.5553426085028984,-0.05238480523290324,-0.5183111271921835,-0.049185508368556334,-0.4975769235619487,-0.047605029758516174,-0.4870267224673639,-0.04681936075906858,-0.481747924981074,-0.046427642018337184,-0.4791122966329227
a-19,0.07196401678229469,-0.09166428675837271,-0.10259935718333699,-0.17489788178841295,-0.09981414135326086,-0.3671856361361927,-0.07834460108541896,-0.4881700818852051,-0.06346077925430138,-0.5063516291587448,-0.05505798476218005,-0.49574676775726684,-0.05062372776631243,-0.4868221804701962,-0.0483491873473734,-0.48178254871155457,-0.047197658008553335,-0.47915906955025245,-0.04661833990535795,-0.4778261552924317
a-20,0.028570056215322118,-0.07084398807977949,-0.12442574365227178,-0.20886130972354344,-0.10573879548356004,-0.4401662213295814,-0.07938449411226314,-0.5538286528307298,-0.06343171520354172,-0.546024246831714,-0.054898646834481875,-0.5166253063347773,-0.05050697901611549,-0.4974254653018551,-0.04828143758975763,-0.4871146987423815,-0.04716142638627886,-0.4818316038157703,-0.046599633314057365,-0.47916390091021993
a-21,-0.35966808328962524,-0.2918630898310475,-0.19998863350159557,-0.42080111660364317,-0.11397668381238614,-0.576030177290383,-0.07751503932050549,-0.62897957269764,-0.061170307900430154,-0.5831778806395997,-0.05345588809286863,-0.5345568250795113,-0.04970992482148159,-0.5061762561753573,-0.04786427719405304,-0.49143182818446046,-0.046948223111076624,-0.48397517830410286,-0.04649188028646533,-0.48023189604815836
a-22,-0.38226436084884335,-0.390010716629246,-0.1645203305153678,-0.43674689718903775,-0.09330547716204075,-0.5131673997283009,-0.06786115108886127,-0.5607203764215392,-0.0566299139244791,-0.5396688953065394,-0.051267392682916774,-0.5112323669593302,-0.04863708154789362,-0.49425110774449377,-0.04733331168189715,-0.48541874153159803,-0.04668411643089947,-0.4809577728452814,-0.046360172403394816,-0.4787206886337122
a-23,-0.1183884817597584,-0.2860827655623012,-0.14803787056511025,-0.3802954031821064,-0.10344883448891293,-0.5363230847574014,-0.07511357566506366,-0.5899448840807512,-0.06052718261016548,-0.5554020411747276,-0.053252479582910746,-0.5187563434415963,-0.04963501867299766,-0.49787612310751755,-0.04783317600364229,-0.4871931388007704,-0.04693421671844534,-0.48183510924576867,-0.046485257650329764,-0.47915685793875423
a-24,-0.0963989501163135,0.21728182642865204,-0.21818203535221892,-0.07065988813816292,-0.16065611661459223,-0.37477115364996466,-0.10853284521649657,-0.5199029048398339,-0.07841013088001861,-0.528540577172433,-0.0624880047058517,-0.5078633275577659,-0.0543266464944551,-0.4930569488225102,-0.05019751558772038,-0.4849353444411163,-0.04812102626608406,-0.48074333887411896,-0.047079823461302885,-0.4786201423278956
a-25,0.0022863988655208974,-0.006932227412545918,-0.07909122454558269,-0.19039749006670853,-0.07806479247759139,-0.4121054392424361,-0.06524042604365238,-0.5248376411866101,-0.056346134546124346,-0.525132819195248,-0.05135720625609619,-0.5046460741192265,-0.048737007140744346,-0.4911056735729821,-0.04739667934513798,-0.4838802425111555,-0.04671910860340558,-0.4801967532360399,-0.0463784902689063,-0.4783421967636086
a-26,-0.17169106907189713,-0.03721624890542947,-0.1491882623076777,-0.2868667745161174,-0.09729897356139351,-0.4819973345939757,-0.07113232264326788,-0.569476376124306,-0.05845410427204247,-0.5518972236192566,-0.05221525826284196,-0.5191141518561443,-0.04911881999529517,-0.4985745016219133,-0.047576007405120836,-0.4876678926125097,-0.046805906358408964,-0.4821031988929969,-0.04642117612911033,-0.47929848956451787
a-27,-0.21513139656906782,-0.17198946849594138,-0.1355547359125432,-0.3071492692378963,-0.08311808797316345,-0.4848957062936937,-0.0624605467292282,-0.5747563734610028,-0.05374923592609631,-0.5566103724137272,-0.049773388300427344,-0.5218973577601679,-0.04787584398944751,-0.5000406673107197,-0.04694904668929675,-0.4884150782374733,-0.046491062373573575,-0.4824797469810503,-0.0462634137898802,-0.47948743169048264
a-28,-0.2944740220896489,-0.42237890721557764,-0.1739519441686995,-0.40466969454252016,-0.1135266395964184,-0.49084812120948196,-0.08131616496476929,-0.5424570770030362,-0.06411855467683504,-0.5273426709830267,-0.05519308077252286,-0.5043112287875414,-0.050644192848135004,-0.49062586050754814,-0.048347802425758535,-0.4835684872207396,-0.04719407927577057,-0.4800236786718946,-0.04661583116678595,-0.4782514540645144
a-29,0.009983922637609895,-0.20790397813278755,-0.11364956024954198,-0.2886010609200822,-0.10405114743085875,-0.44338337823236973,-0.0806742885977142,-0.5289900263291997,-0.06470990299404782,-0.5251775692636745,-0.05570511707094974,-0.5044104970907399,-0.050952982749852625,-0.490945410232829,-0.048515234510261115,-0.4837912716580486,-0.0472810356896051,-0.48015022314735845,-0.04666011713779516,-0.4783184379080477
a-30,-1.0398707638884985,0.3363472545113136,-0.5926017722341282,-0.28488873061567477,-0.3033716832432169,-0.5093917450308223,-0.169421825457249,-0.5883310045992978,-0.10638530542191708,-0.5628655342955733,-0.07587589423154785,-0.5248076266943787,-0.060872735106602335,-0.5014358556287641,-0.05343384430480635,-0.4890973769584509,-0.049730042115023965,-0.4828170554642602,-0.04788204801402696,-0.4796551247696941
a-31,-1.0303567112462833,-0.5419337368667283,-0.4019225987885257,-0.6868568383410378,-0.17957865596325168,-0.643570127964786,-0.10432309543783229,-0.6109780090257072,-0.07341917649591559,-0.5576334279281423,-0.05932931490516274,-0.5181963209247864,-0.052588238436303884,-0.4972430123281351,-0.049289354097200276,-0.48679635814447625,-0.04765730507864239,-0.4816176220164282,-0.046845564990813576,-0.4790434562997548
a-32,-0.19611669368438298,0.38918899498698384,-0.40067729333783764,-0.04178507320648998,-0.2666395393705392,-0.4085968174193237,-0.1620882696693098,-0.5492821278442762,-0.10498566666289458,-0.5435384787950487,-0.0756854899766318,-0.5149409556694249,-0.06089803424600307,-0.49645075173202946,-0.05347578369647421,-0.48659316292266575,-0.04975823117083323,-0.48156224719428536,-0.04789793457942754,-0.47902707451625504
a-33,-0.4060278796099496,-0.1534059997819645,-0.16931764479346353,-0.4125990264268118,-0.07991446356295151,-0.5282755309925562,-0.05677035534953983,-0.5831187912236057,-0.049999518782049515,-0.5551160128515863,-0.04768540661842099,-0.5196734316942389,-0.04678008569758462,-0.49858722625528695,-0.046388407630781926,-0.487607928842581,-0.04620757516402597,-0.48205673117198095,-0.0461208810246127,-0.47927114849164937
a-34,-0.08247548227152222,0.09272569881921207,-0.13289421607770607,-0.13265544113217576,-0.1014129059061468,-0.3322074621787122,-0.0762943020272484,-0.4618321709452068,-0.06178321276568814,-0.4903908300974648,-0.054061525116996474,-0.4871566420720852,-0.05008659475375572,-0.48239717882439015,-0.048070948552589574,-0.47954043288083065,-0.04705612651854269,-0.47803095023381653,-0.04654697183963763,-0.47726037163104257
a-35,0.19246813861966267,-0.06807910665910132,0.08833328807818604,-0.19864146702059224,0.02827945898887403,-0.38223701794340587,-0.007021795435596676,-0.5070271844626362,-0.02608155363615042,-0.5206409716842759,-0.035950121038561274,-0.5039787339148318,-0.040966543173523176,-0.4911634109073092,-0.04349494022505584,-0.4840030815060733,-0.044764140210334445,-0.4802810272192935,-0.0453999848607504,-0.47838996026283714
a-36,-0.5212401868134171,-0.06232514060540164,-0.25278487197733607,-0.29622578107079806,-0.13683439119570667,-0.474080093256299,-0.08858745970557562,-0.5629827439834288,-0.06666650350742764,-0.5480992440197716,-0.05619843921527077,-0.5169818375721916,-0.051080247566395405,-0.4974303155854287,-0.0485492463140773,-0.48707363928279807,-0.04729066481624427,-0.4818001996709498,-0.04666309104232386,-0.47914548049616035
a-37,-0.09129996481752849,-0.0746808774522036,-0.11749965156827474,-0.2971015820522545,-0.08867748376476588,-0.4748853760422633,-0.06885914819299996,-0.561672416086773,-0.057829734482516354,-0.5465750444885422,-0.05203042411161527,-0.5160437289113322,-0.0490581022006817,-0.4969316618668534,-0.04755355326760269,-0.48681898180591093,-0.04679665281026413,-0.4816718009918054,-0.04641704239171594,-0.4790810464273391
a-38,-0.38650055464988325,-0.2626486548732593,-0.19282129357102248,-0.366474370434636,-0.11250059721792854,-0.48016220830533424,-0.07837759230431754,-0.5527936568064609,-0.062104275708356686,-0.5413194203535544,-0.05405912871505449,-0.51366297382528,-0.05004679190343634,-0.4958441382262837,-0.04804166145267073,-0.4863044166828533,-0.0470391697467605,-0.4814221534083556,-0.04653791929978426,-0.4789581675775011
a-39,-0.7002599587210241,-0.6232637195883572,-0.21245594717393096,-0.5803928122814807,-0.09320022774116549,-0.562257682419915,-0.06398087277793064,-0.5908159181055369,-0.05400329288980846,-0.5625482477592447,-0.04981444906528138,-0.5249527852653446,-0.047879578423251246,-0.5016352733895235,-0.04694727943399405,-0.48923238345870623,-0.04648933931843208,-0.48289368154323087,-0.046262350969408575,-0.4796957475364913
a-40,0.3283509000832197,-0.1664943094338677,0.05090297572613214,-0.24839641760031342,-0.017270547538256124,-0.47023171352177506,-0.03578201120678205,-0.5773667914978334,-0.04186679816274626,-0.5595405136428685,-0.04418374157389137,-0.5235121848627113,-0.04516740217118447,-0.500856275150697,-0.045616237365624666,-0.4888219457507519,-0.04582998797649011,-0.48268262104738513,-0.0459342063506619,-0.47958869106177077
a-41,-0.16758507877484835,-0.9745967098413328,-0.08661947677004689,-0.6130040742870396,-0.06805073882668185,-0.599695653800254,-0.05861332368229941,-0.6081461770214192,-0.05280609371545651,-0.5654763030002596,-0.04954945611262903,-0.5246428327630147,-0.04782587218028479,-0.5010647970977882,-0.04693955753820748,-0.48885016065384523,-0.04649019104377836,-0.48267931794091595,-0.04626394627563826,-0.4795828827171315
a-42,-0.07830692922341227,-0.3396059395439561,-0.0345259274835862,-0.37586991481177867,-0.0348660793441632,-0.4747160653824663,-0.040430060516864645,-0.542805242912308,-0.043381545251291606,-0.5318467335424565,-0.04476256326424134,-0.507608796455596,-0.04541481868781043,-0.49249681006576446,-0.04572975645579345,-0.4845534653817748,-0.045884237576656245,-0.48052776467145736,-0.045960708249396416,-0.47850629870143835
a-43,-0.4964040337553792,-0.41327982885185166,-0.2193017468949441,-0.4850211915905972,-0.11352948904046614,-0.5443778812887942,-0.07618290074845838,-0.5756028872360621,-0.06037867988056467,-0.5460995281989754,-0.053044788006640836,-0.5141636844367892,-0.04950238247200213,-0.495655292993252,-0.0477602251947924,-0.4861073276227182,-0.04689615335481481,-0.48129894834225795,-0.04646583773139083,-0.4788905305114048
a-44,-0.6128285938445787,0.13671334774853142,-0.3416872937460119,-0.26460710415757394,-0.18479929662323272,-0.46062070414795103,-0.11301184630103529,-0.5521635358432643,-0.07897867050846155,-0.542070464663659,-0.06237986967575749,-0.5140206727275571,-0.05417741708153652,-0.49598983962229604,-0.05009946311207266,-0.4863662783492813,-0.04806618374735862,-0.48145005508214567,-0.04705095346882803,-0.4789713292003124
a-45,-0.5474123108632367,-1.1053434800390618,-0.11513844428077369,-0.8213447096571221,-0.039012525000045574,-0.7154638221232491,-0.03493308525813506,-0.6538316168919506,-0.03886664606813354,-0.5788917043350783,-0.04207498181247748,-0.5284505116024064,-0.04396469769086684,-0.5022569394272984,-0.04497825093319453,-0.4892744869375295,-0.04550189000951483,-0.4828495140533096,-0.045767887776052396,-0.4796576195165919
a-46,-0.41037219454297164,-0.13545943036826769,-0.17350785358917464,-0.317901422412369,-0.09736741262421456,-0.43792016608884804,-0.06953006218299768,-0.513524272000363,-0.05734598744913805,-0.5137117084466313,-0.051592920348264834,-0.4979501830843959,-0.04879138898309811,-0.48757672440663014,-0.047408312222907416,-0.4820777869308872,-0.046721073646100356,-0.4792868542355003,-0.04637851465955672,-0.4778851767429942
a-47,-0.5505124643118124,-0.18964645524406304,-0.341710320726181,-0.33254337815514495,-0.20218940417922954,-0.46335833650020986,-0.12649125619135773,-0.5378549261963687,-0.08691845980819694,-0.5304246905609442,-0.06664822279715248,-0.5073300812007807,-0.05638591317531129,-0.49247755523246345,-0.051222248659622396,-0.48457458896850114,-0.04863220527532062,-0.480546061867098,-0.04733512069913603,-0.4785173847159495
a-48,-0.2605517083890936,0.3452620378984856,-0.29684785776962325,-0.062151620228934654,-0.18636373715629262,-0.34928024664706053,-0.11754616099237769,-0.5023833174575864,-0.08194781363640777,-0.5224575356221676,-0.06401430079728541,-0.5058933818649144,-0.05502912438184663,-0.49234285156175994,-0.05053358183273717,-0.48464363319619935,-0.048285265478303765,-0.48061339473502024,-0.047160994491250594,-0.4785590891100821
a-49,-0.602276557539877,0.1008135169724903,-0.3774693005962121,-0.2930355679090168,-0.2114055493815339,-0.5016322838056635,-0.1278918082818127,-0.5810607433459878,-0.08674242122456398,-0.5571722364328054,-0.06633481403640448,-0.5214901099190278,-0.056172245398951874,-0.4996890024062126,-0.05110110742765123,-0.4882064024279042,-0.04856805016186924,-0.48236775573244545,-0.047302146100842116,-0.4794295936398984
a-50,-0.43641625497501807,-0.32533377181227047,-0.2317830152598371,-0.4570062537827183,-0.12488389924906824,-0.545858957141802,-0.08189190687599629,-0.5863152116715953,-0.06310593833194032,-0.5556943819558404,-0.054360971712445916,-0.5199201474306958,-0.05014671905778918,-0.49872520786671315,-0.04807872101396992,-0.4876831412996149,-0.04705445410854479,-0.48209617108413794,-0.04654474769949449,-0.4792913590064676
a-51,-0.11511140360386929,0.40117732403094974,-0.18901869828114412,-0.15209398920037295,-0.12177269188900758,-0.43837743973402143,-0.08307914657345147,-0.5587373864194357,-0.06424549686646928,-0.5501497460481656,-0.055055510312327714,-0.5190456341626933,-0.05052404692076254,-0.49870973496601256,-0.048274778202856757,-0.4877733471322578,-0.047154317068994596,-0.482164812071914,-0.046595136103378426,-0.4793314462961284
a-52,-0.1350694608757142,-0.257461482260908,-0.1691976593119894,-0.35436272993687495,-0.11714673471369985,-0.498440612729475,-0.08315524439605536,-0.5624691699403311,-0.06493653387934582,-0.5427341534159092,-0.05556759997247665,-0.5132735720735365,-0.0508219616697689,-0.4953908984838075,-0.0484342206859235,-0.48601737366403197,-0.04723666114634021,-0.48126414261947137,-0.04663696400634346,-0.47887562092908936
a-53,0.15318362757550388,-0.17570281824300624,0.03804729479441824,-0.21986131104459833,-0.009731686258501205,-0.39492714186163835,-0.02955864474438553,-0.5107160817413503,-0.038251713099978074,-0.519964443782106,-0.042262161358987346,-0.5028766100379977,-0.044179448413059125,-0.4904265875505017,-0.045115629435813896,-0.48358995207490446,-0.045578045704473755,-0.48006354123724576,-0.0458078280367477,-0.4782785211386701
a-54,-0.07809670046831785,-0.5245649077857529,0.013006391323295183,-0.5038606720522046,0.008588163366072897,-0.538306207934641,-0.01414457232918575,-0.5748036969191558,-0.029188735229427474,-0.548640445070012,-0.03741667779078264,-0.5162024281604678,-0.041681247261439,-0.49683320715211016,-0.04384803842082255,-0.4867302642965084,-0.0449396740423355,-0.4816181614112323,-0.04548750395238955,-0.4790519781635013
a-55,0.20137489622842944,-0.2658174286634244,0.037940717807322784,-0.2778652763221983,-0.013264408081643371,-0.4476409598221817,-0.03146778833504517,-0.5380187266735995,-0.03913643030970203,-0.5294324288856864,-0.04267347971489052,-0.5061283678749858,-0.04437564381760511,-0.4916825923127329,-0.04521114837602451,-0.48412877816090477,-0.04562513390867261,-0.4803112162126774,-0.045831201002695096,-0.47839700065778107
a-56,-0.610594239100704,-0.5660269420947266,-0.3173824723654555,-0.6013329644199162,-0.16788567655695538,-0.6287646456526481,-0.10428297394896091,-0.6280088637992092,-0.07462470339833543,-0.5753153778043486,-0.06021286609270304,-0.52923894670725,-0.053097203674555976,-0.5032525491439936,-0.04956027074319272,-0.4899138688402692,-0.04779682727531778,-0.48320337513892536,-0.04691633652795762,-0.47984293429965086
