id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1
a-0,1.401799,15.124738,1.4682258,15.070052,1.401454,15.096495,1.4349593,15.1040325,1.4731406,15.028762,1.5076271,14.968815,1.5659002,15.012195,1.5695274,14.9798765,1.6777395,14.969039,1.6833397,14.840191
a-1,2.3863306,14.435865,2.3642132,14.501946,2.3288136,14.481536,2.2253363,14.407669,2.2691891,14.620982,2.1252594,14.607208,2.1083128,14.613713,2.0941215,14.568019,1.9728045,14.678748,2.0169477,14.779596
a-2,1.7603974,15.360852,1.7797273,15.284222,1.7816362,15.314205,1.7826335,15.255032,1.7771497,15.259036,1.7355734,15.246246,1.7832172,15.1110525,1.8223004,15.18314,1.742135,15.007823,1.7655567,14.916947
a-3,2.679373,14.363525,2.5539155,14.337303,2.548947,14.337746,2.4957736,14.485171,2.4345412,14.586409,2.3903682,14.469112,2.2733848,14.637914,2.1434157,14.643991,2.08619,14.65333,2.104538,14.686864
a-4,2.5272846,14.390838,2.554019,14.424292,2.5465183,14.457375,2.5055108,14.470893,2.4407287,14.533862,2.4732974,14.488145,2.4584486,14.535007,2.2844524,14.593789,2.2914903,14.718249,2.0537317,14.702835
a-5,2.4082842,13.934246,2.2883148,13.971402,2.272543,14.041103,2.2537906,14.054582,2.297251,14.11222,2.2110538,14.110544,2.2660105,14.17949,2.1270251,14.248797,2.1315303,14.378185,2.1258798,14.46113
a-6,0.96675086,15.159769,1.0651532,15.146135,1.1081833,15.103595,1.1590345,15.047479,1.1141213,15.047558,1.3183718,15.032532,1.4104211,14.955272,1.4213192,14.942668,1.5103009,14.887955,1.5994992,14.893323
a-7,1.9062682,14.704033,1.8964514,14.695477,1.8447318,14.699832,1.8062484,14.779168,1.833797,14.841691,1.7189935,14.903634,1.7635828,14.8021145,1.7165838,14.828137,1.8225284,14.947501,1.8824753,14.801435
a-8,2.6037223,14.104533,2.5084674,14.051626,2.471684,14.070859,2.4611132,13.992713,2.3932037,14.15769,2.3072507,14.220588,2.294602,14.330595,2.2528555,14.270742,2.1250105,14.437863,2.0410304,14.548283
a-9,1.9616469,14.679038,1.95085,14.713875,2.0104306,14.769127,1.9791322,14.778303,1.9845841,14.725752,2.0210955,14.774492,1.9236416,14.701658,1.927864,14.676617,1.901244,14.677787,1.8608232,14.624104
a-10,1.5682436,15.551487,1.6132267,15.56063,1.5538795,15.485741,1.5348614,15.498766,1.5552025,15.412688,1.5384374,15.411871,1.5839012,15.312058,1.6048311,15.217261,1.6041439,15.087015,1.6220413,14.888771
a-11,1.1276318,14.277365,1.1429085,14.249722,1.1340754,14.303192,1.2379757,14.304782,1.1628287,14.385767,1.2891866,14.402958,1.3257737,14.4261265,1.4113481,14.454463,1.3300327,14.507254,1.5312729,14.590673
a-12,2.054621,13.977552,2.0564678,14.032814,2.058401,13.94783,2.0994802,14.041347,2.0386674,14.055514,2.0593133,14.205937,1.9904498,14.301899,2.007425,14.235215,1.9543718,14.419833,1.9711711,14.663561
a-13,2.248727,15.445885,2.266063,15.436288,2.2428825,15.4814415,2.2429128,15.413247,2.172821,15.381176,2.1590686,15.310788,2.138328,15.253122,2.1056116,15.131777,2.09105,15.03645,2.0238638,14.950924
a-14,2.2460592,15.290471,2.2727058,15.291753,2.234667,15.300216,2.1442776,15.243464,2.1445074,15.311153,2.014828,15.237445,2.0810745,15.161636,2.0961266,15.186302,2.0596666,15.159712,1.9660993,15.0661335
a-15,2.1343546,15.076237,2.0627651,15.091752,2.1354725,15.127355,2.0734012,15.113807,2.0325112,15.102365,1.9993036,15.03584,1.8987087,15.010303,1.8150235,14.952625,1.8065082,15.014035,1.8029073,14.927917
a-16,-10.950643,6.0637918,1.890293,14.243388,1.8374724,14.303236,1.8830209,14.326568,1.841944,14.397341,1.872459,14.381958,1.9119343,14.398704,1.8857858,14.461456,1.9005498,14.4602785,1.7995716,14.685711
a-17,1.412702,15.265166,1.414498,15.282965,1.4219058,15.2178755,1.4320941,15.171999,1.4680072,15.166223,1.5127637,15.053308,1.5673531,15.1045065,1.4847122,15.089812,1.6364003,14.939107,1.6623333,14.930278
a-18,1.7179416,13.935875,1.7756363,13.933085,1.7215273,13.954367,1.7219115,14.011889,1.8125095,14.115836,1.8083488,14.119022,1.7639924,14.102447,1.8451176,14.366188,1.8473912,14.366853,1.6202968,14.604072
a-19,2.7657664,14.388332,2.7555351,14.404702,2.7923653,14.403565,2.6871743,14.434816,2.661284,14.460028,2.5900815,14.492527,2.5659292,14.5277605,2.458742,14.5449,2.3930209,14.603032,2.213932,14.597071
a-20,1.1548138,14.347018,1.2144618,14.320985,1.1980516,14.325849,1.1679548,14.366135,1.2954856,14.47476,1.283543,14.469237,1.3508663,14.555688,1.3913652,14.615552,1.42594,14.5232935,1.6222571,14.600721
a-21,2.458236,14.425355,2.4334266,14.39368,2.394322,14.429488,2.450466,14.439334,2.3868277,14.523012,2.3628728,14.60368,2.2259567,14.563928,2.1610787,14.563777,2.1289165,14.654986,1.9642586,14.642301
a-22,2.7641473,14.893578,2.7338731,14.9571495,2.6665835,14.946136,2.675639,14.924933,2.6447074,14.933248,2.5663502,14.945526,2.4735541,14.953899,2.3510652,14.880049,2.2975218,14.841479,1.8990209,14.832543
a-23,1.5854331,13.844814,1.5951952,13.8272505,1.5991033,13.939557,1.5903015,13.942506,1.6128658,13.976855,1.5341549,13.933286,1.62183,14.131791,1.6351917,14.232807,1.6598952,14.231036,1.7046556,14.626627
a-24,0.8941037,14.284862,1.0164866,14.317457,1.0272204,14.324554,1.0845294,14.332035,1.1386716,14.356761,1.155994,14.410569,1.2271564,14.555151,1.3457069,14.595577,1.3930345,14.644178,1.4953955,14.676182
a-25,2.0175793,13.908075,2.0210054,13.915558,2.0276542,13.887957,1.9465998,13.941376,1.971686,14.040673,1.9689975,14.120618,1.968007,14.213087,1.9261452,14.28949,1.869898,14.380113,1.7262992,14.611956
a-26,1.6916258,13.749939,1.6153135,13.8082,1.6636927,13.881926,1.5441092,13.909431,1.6413817,13.977302,1.7104889,13.905773,1.595502,14.052723,1.7244623,14.133682,1.6588801,14.231973,1.6912476,14.214507
a-27,1.534636,15.241863,1.473398,15.2811,1.5833677,15.290959,1.6303612,15.201078,1.7190036,15.216107,1.6784148,15.131058,1.6468018,15.092851,1.7464445,15.1142025,1.7421197,15.005988,1.8219502,14.948059
a-28,2.2242165,13.96233,2.181656,14.032682,2.1806357,14.110252,2.1632695,14.234845,2.1672096,14.383862,2.1824882,14.299757,2.101884,14.382857,2.0513265,14.324693,1.9337236,14.475358,1.9621319,14.659748
a-29,1.3369883,14.681991,1.3809394,14.727951,1.3530892,14.693141,1.3349105,14.749383,1.4089426,14.796213,1.548767,14.782909,1.4732333,14.751405,1.549263,14.763247,1.69351,14.836547,1.7436686,14.885014
a-30,2.5525188,14.711465,2.5642192,14.536061,2.5353322,14.763282,2.4859335,14.794733,2.3402767,14.769534,2.2815874,14.808469,2.1710384,14.828344,2.2359753,14.708861,2.1966462,14.713205,1.9925439,14.687661
a-31,2.1987724,13.98425,2.232893,13.914489,2.220184,14.059246,2.215777,14.147359,2.1771297,14.212881,2.0701544,14.246003,2.056397,14.288118,1.9121244,14.354753,1.911465,14.51606,1.9093161,14.663909
a-32,1.3107134,15.312001,1.354437,15.301308,1.3793193,15.31327,1.379347,15.276114,1.4579971,15.240553,1.5154628,15.216182,1.4308984,15.161829,1.5010078,15.176839,1.5953906,15.10658,1.6637334,14.922337
a-33,1.7589983,14.060608,1.7171843,14.177907,1.6819775,14.27489,1.7415011,14.3158865,1.7425203,14.356892,1.7315778,14.300695,1.7324145,14.523368,1.7530283,14.60594,1.6956404,14.489023,1.7212856,14.591903
a-34,1.3732195,14.406211,1.4426092,14.434901,1.4543091,14.488461,1.3962696,14.478499,1.533972,14.579628,1.5588311,14.621766,1.587547,14.604079,1.5795685,14.632785,1.5813358,14.671187,1.8234828,14.793286
a-35,1.1334296,14.248771,1.2558445,14.377726,1.3224412,14.458752,1.2689815,14.405146,1.4418777,14.406975,1.41536,14.506101,1.534189,14.6165085,1.5709395,14.600377,1.5932459,14.628938,1.6092174,14.685557
a-36,2.6013496,15.043941,2.6246948,15.019676,2.5845153,15.05441,2.5237272,15.042666,2.5145135,15.043319,2.4853523,14.982984,2.394724,15.001151,2.3013988,14.95449,2.2161624,14.934919,1.907378,14.879439
a-37,2.1361442,13.8562565,2.1018188,13.84927,2.113832,13.853864,2.1236773,13.880602,2.1226306,13.9517355,2.1341164,14.080358,2.0956469,14.156218,2.0247102,14.333448,2.006518,14.315203,1.9710579,14.402324
a-38,2.2917187,15.434013,2.2709243,15.375533,2.324309,15.359773,2.2590733,15.33184,2.21819,15.32526,2.2194393,15.254548,2.2365777,15.168161,2.1234028,15.035088,2.0431292,15.073068,1.9268912,14.869564
a-39,1.603262,14.014845,1.5848315,14.039168,1.638579,14.0360775,1.6518906,14.07124,1.7229946,14.10935,1.7278757,14.202187,1.7096821,14.234296,1.7731459,14.342285,1.751675,14.350486,1.7683758,14.59843
a-40,2.503173,14.889582,2.4886837,14.895722,2.5291207,14.915585,2.4301457,14.883444,2.3213654,14.888326,2.252372,14.832294,2.1030912,14.919577,2.0849862,14.902551,2.0530863,14.867848,2.0390482,14.798291
a-41,1.252714,14.507689,1.2642273,14.598626,1.2671852,14.662259,1.334594,14.740486,1.332357,14.679202,1.36573,14.64392,1.3820746,14.67781,1.4524429,14.718145,1.5640587,14.707327,1.5279148,14.739404
