id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1
200^60000^sgd-0,7.356868,0.922812,5.3729124,4.5814323,-24.27315,5.843998,24.70822,-17.394756,5.779158,-1.9082314,-29.33545,39.45329,32.904568,12.558423,0.2408095,-27.05131,-16.797796,7.019535,17.504349,-10.857481,4.2464294,30.483524,19.544512,11.284541,14.0534725,4.240194,24.572247,13.793574,36.942116,-3.3599918,-0.46816817,11.493975,15.170943,-32.20076,22.940569,2.2148771,7.706358,-11.930337,-24.522919,24.913954,-16.65914,-13.432447,30.247656,11.18614,-2.8009188,3.8434238,-19.766417,-12.070259,-2.3166132,-2.7009096,1.4472649,-11.498513,27.5946,-7.038796,-8.376482,-24.860886,23.677223,19.557768,44.080208,-25.310669
200^60000^sgd-1,4.901328,-3.5953045,-18.935137,-2.301844,14.147838,14.2981415,-55.751423,-4.7183175,3.0680308,0.12724203,53.79495,-8.841251,-90.8856,21.101826,-32.451885,42.99438,32.575634,-32.06735,-43.88925,-3.8489397,-21.134861,-58.938503,-0.7402411,-33.657944,-20.511139,-13.48829,-29.055443,14.2588215,-53.84722,-25.197243,3.4295547,-18.274687,-59.572792,50.96591,-18.73723,-5.942374,-17.17362,-0.5696639,84.59184,17.892517,20.146875,-6.7261744,-47.447594,-19.625845,10.903364,3.2631686,8.406371,30.603521,1.0142685,-3.704754,10.540098,39.20786,-26.079712,22.157654,32.79516,27.181156,-62.31897,3.8934054,-42.022636,-8.897087
200^60000^sgd-2,7.177025,-3.4001374,-7.340417,-8.927178,6.112662,-5.8174195,-32.21149,35.545498,3.219613,-1.3629457,50.114017,-30.864134,-80.47017,-21.67383,17.238905,35.020626,30.276752,-3.3112087,-12.82279,14.590861,10.109451,-40.303513,-8.957818,-26.450655,-12.762425,6.9993067,-34.44049,-19.658512,-24.377481,35.252373,-12.380576,-12.062008,19.154205,47.00637,-32.20192,-10.690022,0.9963317,7.8909626,20.49091,-36.853542,8.688695,9.61221,-47.191242,3.866311,8.274491,-2.5470977,18.81194,24.507998,0.94349575,-2.3025656,-18.57318,23.64435,-39.924206,-7.3700824,-0.4463674,29.803589,-33.79512,-25.999939,15.917853,39.72506
200^60000^sgd-3,6.741477,-3.6417766,-11.344532,-10.311953,10.038894,-0.793623,-46.32709,29.539469,2.783337,-1.0853431,37.66275,-43.47752,-63.637917,-28.775599,-6.8557744,40.890854,29.921076,-12.434552,-21.342493,7.2068853,21.583714,-52.143196,-8.818229,-18.262745,-15.994868,0.84562486,-27.218328,-14.670188,-36.92082,27.839727,-7.5591497,-12.865266,6.0115314,58.11888,-28.09183,-1.4326761,-7.4465704,5.8747935,39.538525,-36.00733,15.683801,6.7291203,-37.940544,14.789329,11.068284,0.57133144,28.874239,22.280783,1.2846283,-2.5931163,-10.44764,26.457804,-28.130434,4.140566,10.75501,32.802464,-46.601345,-15.659573,-44.30558,25.317669
200^60000^sgd-4,5.3908353,-2.893461,-14.259099,0.76418644,4.2649465,4.11011,-43.604374,2.9920988,3.5486507,-0.4628045,40.395874,5.368707,-57.81445,7.8526196,-23.393389,9.147324,9.954553,-22.427427,-25.37381,-6.030351,-8.849937,-30.91782,7.3873615,-20.3333,-13.788285,-16.069365,-7.850493,-21.934414,-44.28447,-7.4190316,-2.4999204,-11.40519,-31.92313,37.650124,-18.634174,3.7178545,-14.121339,-4.7260695,51.696518,-15.960599,16.882431,-0.40599015,-37.030746,-8.948791,7.4962234,2.2652152,6.353226,17.06332,0.19710161,-3.1913123,7.2844696,30.18302,-20.413063,-9.175558,25.157063,13.948865,-46.281326,4.206565,58.965397,51.771034
200^60000^sgd-5,7.0899935,-4.8836718,-14.403439,-13.398842,22.404457,-2.857053,-62.170406,32.81591,1.975278,-1.0885977,46.19204,-84.27319,-86.67049,-58.974533,8.385894,60.30529,41.989628,-3.4964712,-31.38585,23.32785,39.01198,-76.1624,-17.195417,-23.903055,-24.617725,9.2221,-47.38648,-28.389542,-64.04862,38.075157,-14.535734,-24.110525,3.7306328,79.418304,-52.77327,-12.561528,-5.317856,10.248683,61.603157,-54.927254,21.87886,17.28999,-71.2395,27.827461,13.770057,-1.7215784,40.34427,36.792435,2.0673819,-2.3277586,-12.485778,44.171124,-50.184757,20.384438,7.330331,63.041744,-64.67298,-35.803284,-25.928808,51.722576
200^60000^sgd-6,6.507043,-4.8376646,-17.88309,-11.417908,28.60611,-14.1117935,-70.77131,21.640862,1.9459571,-0.6708802,74.93388,-41.665394,-114.08606,-31.749945,-2.4356024,53.460068,46.736115,-19.773043,-41.003975,19.163065,39.580395,-58.383472,-16.749329,-34.953857,-29.412357,-1.7248433,-45.241867,5.4915285,-68.831825,22.956295,-9.22969,-23.67315,40.895184,89.24593,-45.283104,6.216035,-14.066345,12.031864,76.03204,-86.37127,31.141752,6.427064,-78.238655,39.188465,13.219797,0.0907646,50.40323,36.283478,1.8329166,-2.735114,-19.668737,47.052784,-54.641457,-7.8437366,26.682915,51.127453,-76.48829,-23.851316,62.413548,-15.121179
200^60000^sgd-7,7.2560716,-4.417669,-14.296633,-17.25754,17.461128,-10.130471,-54.65767,44.1941,2.2387836,-1.1839234,44.208954,-59.20526,-104.47244,-51.505283,16.583298,51.372696,51.199127,-2.038741,-22.013063,25.97838,25.649267,-68.294075,-22.956945,-28.675053,-30.323315,6.5690937,-47.111496,-5.241057,-51.683456,48.30239,-13.846825,-19.39282,36.375065,72.738396,-46.417366,-4.0930037,-9.254613,12.60499,55.98146,-71.40202,26.65989,11.963969,-58.964046,33.345875,11.677606,-1.5138174,34.516945,30.045822,1.6782577,-2.2923985,-19.64896,38.322025,-49.822758,1.2823746,-6.376853,53.732418,-43.36192,-58.14368,30.072065,30.091242
200^60000^sgd-8,7.1305842,-5.5836296,-16.923105,-20.629538,29.604969,-5.6034536,-85.65113,50.378006,1.39451,-1.0026082,80.62523,-74.358315,-121.43045,-67.15685,20.06046,68.85372,62.192,-6.87522,-37.5045,40.27993,44.551826,-94.49772,-23.253937,-41.513027,-35.457676,2.4393349,-67.08091,-17.210852,-82.11111,57.488605,-19.215044,-27.884586,14.44524,114.673775,-66.0727,-7.1963005,-7.8466177,21.635828,75.117256,-68.999954,32.776844,15.080988,-89.34201,26.95381,15.289103,-2.9830317,39.21665,45.82152,2.4680376,-2.2493353,-28.96376,50.587044,-64.456856,1.6516834,10.129971,76.711945,-93.75843,-34.059895,-30.406902,33.883728
200^60000^sgd-9,7.5817213,-4.1024113,-7.7981606,-12.867769,10.888621,-10.783553,-40.73029,46.798805,2.363442,-1.3648243,31.755186,-70.33101,-76.639824,-43.57946,-15.113125,49.866844,34.671543,4.9315343,-11.13251,23.994366,10.726347,-73.51307,-18.303308,-6.0812764,-17.850313,11.650214,-38.32212,-9.371299,-49.15238,35.391914,-16.02663,-15.440805,19.923447,67.13778,-41.8867,-13.388537,-2.5064268,13.554126,41.233837,-58.08857,21.263018,23.882027,-60.83918,7.1187983,10.340773,-2.7673357,38.756668,20.559786,1.3943503,-2.0180879,-24.587767,30.90051,-39.145977,3.3465958,-1.1315055,41.200436,-40.895233,-42.34999,-19.153309,18.905005
