id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1,t30d0,t30d1,t31d0,t31d1,t32d0,t32d1,t33d0,t33d1,t34d0,t34d1,t35d0,t35d1,t36d0,t36d1,t37d0,t37d1,t38d0,t38d1,t39d0,t39d1
d0.95lr0.1-0,22.762753,0.57101804,21.21826,-43.873737,20.784784,-43.898373,19.369026,-44.06682,18.849854,-44.202244,13.352236,-44.227245,12.9288025,-44.096905,12.4714775,-43.90632,8.00476,-41.695095,7.5393076,-41.24462,5.912778,-39.846706,2.776359,-37.11244,2.1663275,-36.52919,1.2695854,-36.309734,-0.76695085,-31.609869,-1.0323468,-30.726715,-2.752051,-26.063377,-2.8913248,-25.360832,-2.9688356,-24.961313,-1.7708448,-20.324465,-1.8721242,-16.539942,-1.9241624,-16.145723,-1.1446515,-8.949198,-1.2665833,-8.627223,-3.6527681,-4.509103,-3.8322954,-4.256568,-4.0597415,-4.0087857,-9.774339,-2.4292037,-10.084492,-2.268327,-15.862793,-0.7293519,-16.32323,-0.59363574,-16.8203,-0.39427724,-17.28354,-0.2635239,-17.88665,0.07331035,-20.747223,1.9617131,-21.565247,2.54156,-22.321772,2.9329417,-22.818758,3.214166,-23.389494,3.4597232,-23.60503,3.5217898
d0.95lr0.1-1,23.018738,-1.6508372,22.12364,-42.915134,18.40886,-42.622364,14.6950245,-42.518448,11.952348,-41.617283,9.826743,-40.90346,8.243849,-37.639435,6.516249,-34.64607,4.983564,-32.252068,4.5702558,-31.576899,2.3170443,-28.474184,-0.04259931,-25.657679,-0.18299022,-24.824244,-0.86909455,-19.919863,-1.0098581,-19.30445,-1.2103524,-18.506214,-1.9485941,-12.966146,-2.0719957,-12.577527,-6.3231144,-8.598033,-6.586999,-8.252851,-7.1300035,-7.519795,-7.6463056,-6.960474,-10.238779,-4.2399874,-10.539918,-4.0565987,-12.6922455,0.76522183,-12.916446,0.89480346,-13.340877,1.0055513,-18.280024,1.3205928,-18.683878,1.4868731,-19.21679,1.7525345,-20.364126,2.3493583,-20.802055,2.536131,-27.381704,5.561614,-27.912733,5.7121334,-28.52721,5.7470746,-29.043188,5.7608876,-29.453552,5.7676907,-29.811558,5.8103356,-30.00382,5.82322,-30.16041,5.881431
d0.95lr0.1-2,20.406042,-2.4138281,22.308573,-43.291412,18.30953,-41.53671,15.027024,-41.013294,13.473346,-40.242096,8.126122,-40.403744,7.4482384,-39.932365,4.12259,-35.837563,3.6900244,-35.30177,2.2152643,-30.780289,1.9565217,-30.18907,1.8761587,-25.309038,1.7832023,-24.558044,1.8363545,-18.761103,1.7936932,-18.364193,1.6906164,-17.89415,-2.9653518,-11.690113,-3.1459389,-11.36587,-4.634436,-8.732383,-4.884335,-8.336082,-6.9452333,-5.159028,-7.2875323,-4.7208953,-7.5528584,-4.2815876,-10.801826,1.3230168,-11.103017,1.8087355,-11.567428,2.505475,-11.907772,2.8632915,-17.200594,6.8992352,-17.529396,7.152112,-17.998959,7.455211,-18.565006,7.81645,-18.886274,7.9811535,-26.968897,12.160772,-27.286985,12.208619,-27.80227,12.26926,-28.6315,12.373372,-29.272419,12.50749,-29.990967,12.680869,-30.220404,12.752189,-30.300646,12.792308
d0.95lr0.1-3,19.94789,-1.0940472,21.924068,-43.076103,18.542664,-41.937614,15.273023,-41.447624,11.6578245,-40.16541,10.572059,-39.920925,7.7948847,-35.796173,7.2988777,-34.914352,4.6751757,-31.104534,4.2990856,-30.562181,1.8443346,-27.650948,1.2271069,-26.907516,0.27216858,-22.70469,0.15248337,-22.130806,-1.7578806,-17.802298,-1.8708341,-17.306673,-2.2459319,-11.108141,-2.5070171,-10.432951,-2.8358462,-9.607732,-5.1925044,-4.9973755,-5.3439937,-4.6994166,-5.6154995,-4.402913,-10.718775,-2.221345,-11.046928,-2.0361242,-11.408006,-1.8364124,-16.04762,0.8374496,-16.502365,1.1621017,-16.899027,1.4250424,-17.357948,1.6985633,-17.553753,1.8566071,-24.068546,6.400841,-24.585754,6.6070414,-25.159998,6.754142,-25.488583,6.8066187,-25.828783,6.8509693,-31.31117,6.896211,-31.550432,6.994238,-31.719887,7.1194386,-31.797588,7.1858964,-31.856693,7.233048
d0.95lr0.1-4,23.061075,7.034408,21.976662,-43.45372,18.503904,-41.781754,14.614141,-41.778713,13.020045,-41.07253,8.881243,-39.927895,7.864291,-39.36812,5.569049,-35.02741,3.8283222,-33.40767,3.0664124,-32.23314,1.2474558,-28.681236,-0.020572785,-26.692596,0.04022183,-23.938683,0.6328668,-21.306293,0.9261163,-20.75506,-0.029596487,-15.661217,-0.27030975,-15.162602,-3.8014388,-11.980134,-4.210284,-11.276654,-5.7993712,-7.2596173,-6.035883,-6.6504135,-6.903471,-4.247196,-7.242261,-3.808493,-11.819101,1.4589,-12.277327,1.9966362,-12.886212,2.657872,-13.213563,2.8803017,-13.499514,3.038509,-20.397768,4.4346943,-20.96774,4.645927,-21.549337,4.879705,-22.111153,5.0877438,-22.476448,5.224073,-22.731754,5.3702054,-26.940315,9.36251,-27.186338,9.577394,-27.434824,9.688871,-32.95087,9.4690485,-33.038025,9.431661,-33.088627,9.395653
d0.95lr0.1-5,-23.94287,109.467354,22.094269,-42.86692,18.552317,-41.854607,15.514021,-42.14929,12.509522,-40.833237,8.8428545,-39.387714,7.119604,-38.442127,5.0724506,-35.676804,3.6446555,-33.994022,2.5838182,-31.568415,0.6310893,-28.909748,0.23943739,-28.45416,-1.9616696,-24.188908,-2.2099087,-23.67606,-3.3954904,-20.874073,-4.344512,-16.919298,-4.485052,-16.408632,-4.6846495,-15.321108,-2.9795356,-6.500011,-3.146587,-6.1913276,-3.3443289,-5.9098063,-6.1800833,-3.6059518,-11.139716,-1.5074718,-11.670047,-1.2571309,-12.004275,-1.0541413,-12.262007,-0.84262294,-17.356138,4.2798834,-17.729195,4.5242834,-18.27232,4.78724,-18.668167,4.883043,-18.984121,4.956343,-19.240513,5.0166736,-26.630997,7.5746737,-26.902113,7.63949,-27.530182,7.822137,-27.852102,7.9059405,-32.542294,8.263565,-32.73629,8.322935,-32.841686,8.332399,-32.91839,8.320729
d0.95lr0.1-6,26.91094,2.9458792,21.934284,-43.054096,18.518599,-41.91014,15.660745,-41.613056,12.42114,-39.62689,10.64434,-38.713154,6.588145,-36.769848,5.601085,-36.09125,3.587418,-34.757694,1.4358538,-32.030228,0.67084503,-30.909939,-1.4896001,-27.052395,-1.6465387,-25.943935,-2.5007863,-22.285097,-2.4716473,-19.745142,-2.5472782,-19.175205,-2.1727777,-12.053211,-2.3026512,-11.641501,-3.8325198,-8.887928,-4.060239,-8.491062,-6.3937893,-2.8528948,-6.6581817,-2.4927917,-9.269826,0.5706925,-9.562,0.83351123,-9.891898,0.97902364,-14.997311,2.1174986,-15.394042,2.2708411,-15.82909,2.4280255,-16.193745,2.612784,-20.385891,8.32403,-20.6598,8.466649,-20.89395,8.551618,-21.318598,8.636284,-21.69329,8.729281,-27.472315,11.136254,-27.933092,11.291597,-28.575157,11.445756,-29.24963,11.5454,-30.077152,11.651669,-30.294088,11.732101
d0.95lr0.1-7,-17.754995,111.11364,22.363886,-43.538067,17.841534,-41.477734,16.413359,-41.26114,12.37118,-39.05116,11.383767,-38.41101,7.248542,-36.37064,6.132363,-35.382423,4.9900756,-34.222122,3.1318934,-30.419691,2.5829747,-29.165794,1.4258356,-26.28893,-0.68694633,-22.698608,-1.0615835,-22.043137,-1.1362562,-21.574232,-3.40516,-15.516536,-3.561123,-14.962541,-4.6432805,-11.919211,-5.042444,-11.195575,-5.3350515,-10.79559,-8.3891945,-5.8307834,-8.724908,-5.382264,-9.9331665,-3.667068,-10.207791,-3.2966504,-11.51418,-0.4332866,-11.801272,-0.09841287,-15.224459,3.183983,-15.562687,3.4904387,-15.966456,3.9614775,-16.19979,4.190278,-23.294098,9.132608,-23.646767,9.197799,-24.061129,9.265285,-24.72459,9.39275,-25.194525,9.49397,-25.523462,9.591957,-25.944056,9.758782,-31.001013,12.272546,-31.07737,12.402725,-31.083944,12.4595585
d0.95lr0.1-8,-8.901638,45.705585,21.761766,-42.932148,17.936737,-42.0823,15.784735,-41.60162,12.891462,-39.70432,10.078253,-38.46727,7.1478915,-37.284004,5.669325,-36.280643,2.5276008,-33.910255,1.920615,-33.062855,-0.95356554,-29.890493,-1.3336873,-29.20233,-0.88545823,-25.44913,-0.5360948,-20.851343,-0.669498,-20.381708,-0.2928162,-18.050488,1.780219,-13.2586,1.7862184,-13.220267,-5.5871716,-9.871184,-6.0231156,-9.627856,-6.581127,-9.390903,-6.476926,-0.2620421,-6.6744814,0.19854954,-6.8656306,0.6073314,-7.0405807,0.87353796,-13.78185,3.9758503,-14.187544,4.1921806,-14.42156,4.334403,-14.658832,4.533923,-21.333334,9.87306,-21.587885,9.946061,-21.86343,9.993135,-22.1566,10.054649,-28.737684,9.224846,-29.085276,9.268863,-29.327194,9.309131,-29.624329,9.39608,-30.036657,9.576762,-30.358004,9.733534,-30.488016,9.797139
d0.95lr0.1-9,29.194893,0.56958914,21.896204,-43.21471,18.495247,-42.579678,15.555658,-43.365852,12.592056,-41.44303,10.176607,-38.59797,8.5050535,-36.700558,5.83282,-33.849102,4.9716578,-33.245193,3.6104035,-31.106327,2.44619,-27.890566,2.0961168,-26.803059,1.5173233,-23.469471,1.4945128,-23.011105,-0.65425515,-17.222801,-0.723657,-16.723967,-0.7192902,-16.056757,-1.7373358,-10.20512,-3.000114,-9.300052,-4.36199,-6.8393846,-4.5720286,-6.3205013,-7.441328,-2.3581836,-7.9005623,-2.0382955,-8.478461,-1.7374074,-9.28616,-1.450591,-14.739394,-1.3264735,-14.771423,-1.3225526,-18.464973,2.378095,-18.82979,2.5861483,-19.49656,2.969502,-20.013779,3.3186772,-20.37278,3.5587094,-25.882599,5.735112,-26.338316,5.9344234,-26.723063,6.130072,-29.169813,7.8604646,-29.493542,8.002993,-29.927364,8.200211,-30.238476,8.350501,-30.369642,8.4254
