id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1,t30d0,t30d1,t31d0,t31d1,t32d0,t32d1,t33d0,t33d1,t34d0,t34d1,t35d0,t35d1,t36d0,t36d1,t37d0,t37d1,t38d0,t38d1,t39d0,t39d1,t40d0,t40d1,t41d0,t41d1,t42d0,t42d1,t43d0,t43d1,t44d0,t44d1,t45d0,t45d1,t46d0,t46d1,t47d0,t47d1,t48d0,t48d1,t49d0,t49d1,t50d0,t50d1,t51d0,t51d1,t52d0,t52d1,t53d0,t53d1,t54d0,t54d1,t55d0,t55d1,t56d0,t56d1,t57d0,t57d1,t58d0,t58d1,t59d0,t59d1,t60d0,t60d1,t61d0,t61d1,t62d0,t62d1,t63d0,t63d1,t64d0,t64d1,t65d0,t65d1,t66d0,t66d1,t67d0,t67d1,t68d0,t68d1,t69d0,t69d1,t70d0,t70d1,t71d0,t71d1,t72d0,t72d1,t73d0,t73d1,t74d0,t74d1,t75d0,t75d1,t76d0,t76d1,t77d0,t77d1,t78d0,t78d1,t79d0,t79d1,t80d0,t80d1,t81d0,t81d1,t82d0,t82d1,t83d0,t83d1,t84d0,t84d1,t85d0,t85d1,t86d0,t86d1,t87d0,t87d1,t88d0,t88d1
airplane-3739,-1.1236292,9.223745,-10.728538,14.8388,-10.744716,14.434903,-10.841197,14.293228,-11.076535,13.816245,-11.119908,13.711858,-11.139608,13.609063,-11.145524,13.575674,-11.163763,13.497013,-37.78412,-38.183865,-37.793617,-38.20047,-37.80347,-38.21798,-37.80347,-38.21798,-37.82985,-38.26049,-37.839657,-38.27649,-37.859695,-38.310986,-37.88621,-38.356808,-37.89651,-38.374687,-38.122925,-38.76961,-38.139122,-38.797867,-38.17127,-38.855026,-38.39407,-39.266953,-38.406384,-39.290634,-38.43192,-39.348564,-38.285137,-40.26678,-38.42726,-40.353184,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.38913,-40.678013,-39.391083,-40.68155,-39.391083,-40.68155,-39.391083,-40.68155,-39.391083,-40.68155,-39.391083,-40.68155,-39.391083,-40.68155,-39.391083,-40.68155,-39.391083,-40.68155,-39.391083,-40.68155,-39.391083,-40.68155,-39.391083,-40.68155,-39.391083,-40.68155,-39.391083,-40.68155
airplane-4141,-6.8927703,-15.573068,-6.892168,-15.595517,-6.8901834,-15.633104,-6.8863134,-15.681661,-6.8931613,-15.801267,-6.899791,-16.308525,-6.898867,-16.398684,-6.9014344,-16.484379,-6.8997145,-16.501722,-6.899804,-16.516468,-6.8991513,-16.530218,-6.898925,-16.541992,-6.894811,-16.577171,-6.8923473,-16.598598,-6.8912916,-16.608221,-6.8875456,-16.635586,-6.883673,-16.66295,-6.8825097,-16.671545,-6.8810534,-16.679806,-2.032545,-35.05446,-2.0164177,-35.12775,-2.0099843,-35.157257,-1.9977405,-35.214825,-1.9950609,-35.228374,-1.9921238,-35.24234,-1.9857122,-35.273773,-1.9779987,-35.31255,-1.9735271,-35.335243,-1.9036843,-35.702705,-1.8464204,-35.99755,-1.8325967,-36.06823,-1.8202198,-36.128857,-1.8142956,-36.15615,-1.8142956,-36.156155,-1.8087003,-36.180954,-1.7937247,-36.239937,-1.5618263,-36.893486,-1.416526,-37.591442,-1.416526,-37.591427,-1.416526,-37.591442,-1.4165275,-37.59146,-1.4165285,-37.59144,-1.4165263,-37.591427,-1.416526,-37.591442,-1.416527,-37.591442,-1.416526,-37.591427,-1.416526,-37.591442,-1.416526,-37.591427,-1.4165269,-37.591442,-1.416526,-37.591427,-1.416526,-37.591427,-1.4165269,-37.591442,-1.416526,-37.591427,-1.416526,-37.591427,-1.4165274,-37.59146,-1.4165275,-37.59146,-1.4165276,-37.591446,-1.416526,-37.591427,-1.416526,-37.591442,-1.4165274,-37.59146,-1.4165269,-37.591442,-1.416526,-37.591427,-1.416526,-37.591427,-1.4165269,-37.591434,-1.4165269,-37.591442,-1.416526,-37.591427,-1.416526,-37.591427,-1.4165263,-37.591427,-1.416526,-37.591427,-1.416526,-37.591427,-1.416526,-37.591442,-1.416526,-37.591442,-1.4165279,-37.59144,-1.4165269,-37.591442,-1.4165267,-37.591442,-1.4165267,-37.591442,-1.4165269,-37.591442,-1.416526,-37.591427,-1.416526,-37.591427,-1.4165279,-37.59144,-1.416526,-37.591427,-1.416526,-37.591442,-1.416526,-37.591427,-1.4165269,-37.591442,-1.4165269,-37.591442,-1.4165269,-37.591442,-1.416526,-37.591427,-1.4165267,-37.591442,-1.416526,-37.591427
airplane-5786,3.6664395,-0.25876,4.269136,-0.26265484,4.2706757,-0.26251692,4.3204865,-0.30557844,4.4384584,-0.60022783,4.5730615,-0.8453721,5.0613317,-1.7020489,5.077191,-1.7319233,5.078426,-1.735448,5.078426,-1.735448,5.083192,-1.7368242,-27.94998,63.311638,-27.950323,63.46649,-27.95433,63.560368,-27.958086,63.630455,-27.958086,63.630455,-27.958086,63.630455,-27.967632,63.699074,-27.97665,63.772003,-27.97665,63.772003,-27.99736,63.908916,-28.002724,63.945747,-28.009766,63.98463,-28.03313,64.08642,-28.103987,64.3379,-28.203075,64.6656,-28.238815,64.739845,-28.407267,64.98071,-28.483625,65.22697,-28.483625,65.22697,-28.483625,65.22697,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.406096,66.045006,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814,-27.405811,66.046814
airplane-5795,1.8733168,3.7659698,2.0043457,3.5108707,2.0256536,3.45747,2.037317,3.3800368,2.054876,3.3324487,2.061949,3.3222237,24.559517,0.11926876,24.604895,0.14420259,24.647114,0.16689205,24.703678,0.19895926,24.718082,0.20677322,24.718082,0.2067669,24.72462,0.21030006,24.737339,0.21715005,24.749844,0.22348167,24.767708,0.23302475,24.773346,0.2358283,24.795347,0.24728858,24.802816,0.25010297,24.809147,0.25330323,24.820087,0.25916234,24.844109,0.27173746,24.850887,0.2750489,51.829548,11.258745,51.865154,11.28002,51.91075,11.307909,51.94474,11.329258,51.94474,11.329258,51.968163,11.343912,51.98197,11.3525505,52.073524,11.4096985,52.425797,11.632841,52.468636,11.6605,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.435986,12.389786,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436104,12.389833,53.436226,12.389882,53.436226,12.389882,53.436226,12.389882,53.43638,12.389935,53.43638,12.389935
airplane-6913,-18.164368,-6.570362,-18.22682,-6.8393745,-17.705368,-7.194496,-17.675936,-7.2186284,-17.675922,-7.2186356,-17.680645,-7.2506003,-17.7063,-7.427944,-17.800795,-7.8667583,-17.892933,-8.20984,-17.920067,-8.29444,-17.940483,-8.348095,-17.950352,-8.373388,-17.955763,-8.383849,-17.96047,-8.392328,-17.968964,-8.406814,-17.973225,-8.41371,-17.978617,-8.419352,-17.98313,-8.430753,-17.992521,-8.449436,-18.008133,-8.487409,-18.008133,-8.487409,-48.984722,-43.336857,-49.076004,-43.39317,-49.110966,-43.41521,-49.476837,-43.667248,-49.54544,-43.709316,-49.54544,-43.709316,-49.54544,-43.709316,-49.55325,-43.714317,-49.575855,-43.727352,-49.61627,-43.747375,-49.70451,-43.78647,-50.419865,-44.371277,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.225994,-44.217453,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575,-51.226097,-44.217575
airplane-8592,-6.4973636,17.67568,-6.4152102,17.730047,-6.397794,17.737036,-6.383163,17.737192,-6.331717,17.715979,-6.2303095,17.671099,-6.194869,17.656641,-6.185939,17.653166,-6.158016,17.640528,-6.147594,17.636381,-6.1428013,17.635258,-6.130214,17.629456,-6.126189,17.626995,42.445522,-25.769865,42.47273,-25.787392,42.539787,-25.826582,42.56465,-25.84141,42.575603,-25.848213,42.611504,-25.870605,42.638176,-25.887255,42.66793,-25.905931,42.741417,-25.951468,42.761604,-25.964226,42.833508,-26.010414,43.0246,-26.133392,43.050575,-26.150202,43.050575,-26.150202,43.13681,-26.21206,43.556183,-26.547035,43.61864,-26.593962,43.61864,-26.593962,43.714584,-26.678835,43.795074,-26.73863,44.090412,-26.982708,44.291393,-27.030357,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.129086,-26.951801,45.130024,-26.952234,45.130024,-26.952234,45.130024,-26.952234,45.130024,-26.952234,45.130024,-26.952234,45.130024,-26.952234,45.130024,-26.952234,45.130024,-26.952234
airplane-14056,1.8653619,13.298773,1.8553673,13.376286,1.8544567,13.386678,1.857873,13.401079,1.8611946,13.408357,1.8650477,13.413955,1.8708786,13.418246,1.8783664,13.422538,49.293438,-24.450424,49.310272,-24.483078,49.31667,-24.495739,49.322735,-24.507915,49.322735,-24.507915,49.329205,-24.521002,49.345158,-24.553406,49.423367,-24.720272,49.453217,-24.78346,49.55765,-25.002396,49.58615,-25.063377,49.62464,-25.146221,49.636074,-25.171017,49.647373,-25.195402,49.658924,-25.220196,49.67137,-25.246708,49.699577,-25.306372,49.77736,-25.471891,49.8202,-25.562836,49.90266,-25.749588,49.90266,-25.749588,49.91984,-25.788052,49.93911,-25.829927,50.065746,-26.092947,50.19017,-26.384007,50.19017,-26.384007,50.19017,-26.384007,50.243168,-26.490108,50.318638,-26.660147,50.406826,-26.914997,50.426643,-27.000015,50.37903,-27.26855,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045876,-27.97351,50.045868,-27.973959,50.045868,-27.973959,50.045868,-27.973959,50.045868,-27.973959,50.045868,-27.973959,50.045868,-27.973959,50.045868,-27.973959
airplane-14127,5.7368565,-3.8529055,10.622931,-5.5956235,10.862589,-5.650994,10.973042,-5.678087,11.146272,-5.7934065,11.23063,-5.841323,11.266614,-5.874643,11.608868,-6.1598887,12.471947,-6.5945067,12.57975,-6.65103,12.617565,-6.66939,12.622938,-6.6729927,12.622938,-6.6729927,12.635254,-6.6784215,12.645213,-6.682727,12.692017,-6.701073,54.63192,-4.5903387,54.648098,-4.596703,54.672474,-4.6061587,54.68973,-4.6129484,54.699,-4.6164684,54.720673,-4.6242914,54.80614,-4.6554513,54.852596,-4.6723337,55.077038,-4.7535963,55.11051,-4.765513,55.35782,-4.849085,55.35782,-4.849085,55.35782,-4.849085,55.426098,-4.864595,55.601597,-4.8992934,55.893795,-4.982116,55.946198,-4.9957404,56.274162,-5.0879564,56.37324,-5.2293706,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344,56.627373,-6.0629344
airplane-14176,16.910156,1.9611801,17.030397,2.2093933,17.028097,2.0850272,17.049683,1.8889673,17.047289,1.8374193,17.055378,1.7192104,27.619522,-60.04678,27.676573,-60.09163,27.688337,-60.10043,27.703873,-60.111927,27.737904,-60.136894,27.967236,-60.300396,28.00908,-60.32994,28.047604,-60.35703,28.066063,-60.36996,28.104614,-60.396915,28.147163,-60.42649,28.224987,-60.480286,28.364658,-60.57599,28.439508,-60.627205,28.919666,-60.958855,28.946718,-60.97755,28.970737,-60.994534,29.025593,-61.03427,29.58197,-62.173874,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722,30.4672,-61.810722
airplane-15423,9.69783,-2.2251005,9.090065,-1.9218222,9.022484,-1.950205,8.997366,-1.9622447,8.98676,-1.9760568,8.986763,-1.9760559,8.955403,-1.9791766,63.417995,-55.02948,63.43167,-55.019764,63.440052,-55.014133,63.46594,-54.995937,63.492683,-54.97637,63.50801,-54.964996,63.593826,-54.900124,63.623104,-54.877655,63.661118,-54.848354,64.04064,-54.554058,64.27914,-54.367283,64.47737,-54.209263,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.374535,-53.48218,65.50544,-53.38582,65.50544,-53.38582,65.50544,-53.38582,65.50544,-53.38582,65.50544,-53.38582,65.50544,-53.38582,65.50544,-53.38582,65.50544,-53.38582,65.50544,-53.38582,65.50544,-53.38582,65.50544,-53.38582,65.50544,-53.38582,65.50544,-53.38582,65.50544,-53.38582
