id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1,t19d0,t19d1,t20d0,t20d1,t21d0,t21d1,t22d0,t22d1,t23d0,t23d1,t24d0,t24d1,t25d0,t25d1,t26d0,t26d1,t27d0,t27d1,t28d0,t28d1,t29d0,t29d1,t30d0,t30d1,t31d0,t31d1,t32d0,t32d1,t33d0,t33d1,t34d0,t34d1,t35d0,t35d1,t36d0,t36d1,t37d0,t37d1,t38d0,t38d1,t39d0,t39d1,t40d0,t40d1,t41d0,t41d1,t42d0,t42d1,t43d0,t43d1,t44d0,t44d1,t45d0,t45d1,t46d0,t46d1,t47d0,t47d1,t48d0,t48d1,t49d0,t49d1,t50d0,t50d1,t51d0,t51d1,t52d0,t52d1,t53d0,t53d1,t54d0,t54d1,t55d0,t55d1,t56d0,t56d1,t57d0,t57d1,t58d0,t58d1,t59d0,t59d1,t60d0,t60d1,t61d0,t61d1,t62d0,t62d1,t63d0,t63d1,t64d0,t64d1,t65d0,t65d1,t66d0,t66d1,t67d0,t67d1,t68d0,t68d1,t69d0,t69d1,t70d0,t70d1,t71d0,t71d1,t72d0,t72d1,t73d0,t73d1,t74d0,t74d1,t75d0,t75d1,t76d0,t76d1,t77d0,t77d1,t78d0,t78d1,t79d0,t79d1,t80d0,t80d1,t81d0,t81d1,t82d0,t82d1,t83d0,t83d1,t84d0,t84d1,t85d0,t85d1,t86d0,t86d1,t87d0,t87d1,t88d0,t88d1
airplane-3739,-43.046463,12.559034,-3.0538838,52.307434,-0.29772267,-7.877112,-0.21202168,5.715549,-2.5300694,-1.1947026,-5.544931,2.053883,-2.5221438,5.779355,6.2140603,-4.9905496,0.6395274,8.05003,0.49151838,-8.481814,1.4660599,-8.856887,-4.1205,-8.265588,-7.1584506,-7.86603,-3.6110184,9.914034,-7.906893,6.7073417,-6.721698,-1.0343733,10.073788,-12.192668,13.415114,2.6675603,2.2030091,9.891611,1.6334449,1.0818236,0.3456714,1.340733,-0.5557029,13.663793,-3.7481449,7.9661984,7.1599994,-5.3703375,-2.5331466,11.70391,4.320564,-7.873371,7.888969,-6.8034215,-0.8936466,-9.031166,-4.6978483,10.387731,-9.967454,9.653562,-3.2965748,-9.692286,-7.0899205,9.04392,-3.5175364,5.0589194,-2.2349458,3.3570206,3.3878431,4.2838764,-1.7285527,-3.9671237,-1.5329974,-3.9902315,4.6013412,0.3113442,-4.7060766,-3.5449028,-1.9944754,2.4375308,3.3319218,0.70206326,-1.2278689,-2.3721933,-1.5077544,1.0052798,0.91218585,0.1295596,1.2527051,-1.0037566,-2.6996007,0.6250035,-0.16639695,2.045331,-2.7199042,0.42491603,-3.3413973,-1.9602865,1.4651148,-5.815418,-3.614951,-3.8773735,0.03613537,-5.3149023,0.7332316,1.1009694,-1.4634165,-0.13619627,0.9827253,-0.14579105,5.7590427,0.61226416,-0.8878053,2.2294147,3.1481063,-4.55845,-1.0718274,-4.6827025,-0.92194027,1.3604625,2.8797126,-0.6566838,-4.7130175,-2.385566,0.98645914,4.677162,3.3508215,0.2925422,0.61144876,-3.099179,0.7414566,-1.8836437,-6.4389243,-3.6508734,0.16080855,-4.739529,2.5885346,-2.1868868,1.4358395,1.4428843,-2.1311636,2.6127574,1.3280624,-3.6987855,-0.49590337,-0.5296833,-2.087675,0.7627799,-1.4642578,-3.397248,-2.3346136,1.8831203,-2.6702862,5.4476995,-3.0410683,3.6675797,-2.3679473,2.6035924,-2.4971192,-1.1918992,1.4077002,-0.4318842,-0.31311214,2.5072634,-0.8640068,-3.2883418,0.55703175,2.5934317,0.50237,3.9494889,-3.2420535,-4.656807,0.5092305,0.56399125,4.963613,4.331657,2.4064107,3.5640728
airplane-4141,-44.1085,10.128448,-8.595018,54.563133,2.9216776,-11.265178,-2.5348325,8.805387,-4.808035,-4.3777704,-8.425872,1.9252218,-2.4009345,8.204126,5.766884,-6.4612007,1.7067865,5.9921103,0.64707804,-7.695417,1.6040666,-9.04243,-4.1441765,-8.348355,-7.1051235,-7.71679,-3.3264534,9.578415,-7.6907086,6.7316,-6.8341956,-1.2019659,9.107082,-12.504537,13.44432,2.9502907,2.2665477,9.969752,1.3160493,0.7233484,1.2609003,0.99074984,0.4574181,12.415245,-3.280513,7.0365195,6.7181635,-7.536693,-3.2199183,11.817269,3.973861,-8.91936,8.722573,-8.651653,-2.890495,-9.958444,-6.997504,11.446589,-10.219815,11.052272,-4.8616934,-11.948774,-7.6719594,11.441753,-3.99174,7.3221717,0.12545568,3.6279688,2.1767676,6.318398,0.3654342,-3.7638829,0.17148761,-5.833881,2.0579123,-0.4451489,-3.4351034,-6.2143292,-0.06540103,0.0951423,1.1384342,2.9231143,-1.530254,0.3984028,1.1911869,0.5801591,-2.124625,-0.8024885,2.5411928,1.4908097,0.41752952,1.2654743,1.6279249,1.751757,-0.008684628,1.5271603,-0.47462547,-1.4270762,-1.0108794,-4.0504866,-6.229731,-4.609227,-1.766813,-3.824951,-1.4114916,1.780339,-3.18267,1.7056572,-1.3384317,1.1835512,5.0553803,2.31856,1.8032753,2.445259,0.8193454,-3.0691328,1.5355473,-5.1481795,1.969048,1.4867551,0.94155777,1.0004873,-3.2014081,-4.246,3.2950552,4.06142,1.1979533,1.2709608,2.5206108,-1.4637889,-1.4110327,0.05303493,-5.3342752,-6.1570125,2.1553633,-4.274795,-0.009992297,-0.81137794,-0.3710586,2.8619897,-0.56441945,3.7463584,3.1021633,-3.033857,1.7558341,-0.07159953,0.56880116,0.2863915,-0.06480863,-1.8404963,0.108520925,0.9654106,-0.056607928,4.038902,-0.96342695,3.2281518,0.34513304,2.350043,-3.706164,-2.7297447,2.928465,1.2787558,2.1637452,2.7871006,1.6367768,-4.01058,1.4449762,3.9497678,2.3517601,3.2584698,-0.6627702,-4.400462,-1.8169329,0.5203248,3.550865,5.206484,0.6036584,3.2883918
airplane-5786,-39.350933,11.240922,-6.9704785,51.879013,4.0445633,-9.173153,-3.3535554,7.506613,-2.6617205,-4.5677485,-6.1918616,-0.34179077,-4.027209,5.469518,7.634153,-4.718762,-0.055930935,7.5851364,2.0280514,-8.047057,4.1475334,-9.023305,-2.3315957,-9.092135,-6.008381,-8.598275,-2.4934187,9.660796,-7.8504286,5.871282,-6.510814,0.06901455,9.161576,-10.829816,11.594986,2.0495596,2.1095703,8.287411,2.8166223,1.1133113,2.008136,2.273848,0.62892926,13.815329,-4.010777,5.9961505,7.828661,-7.682621,-3.299593,12.948887,4.7374578,-10.074082,9.897408,-8.011986,-1.7743062,-11.118642,-6.1278157,12.694647,-10.511184,11.781561,-3.956742,-12.262345,-6.8344846,11.571844,-2.8385332,7.4083495,0.49346313,2.7808259,1.3252822,5.8513126,1.0067126,-3.188059,1.0506586,-5.558155,1.7461874,-0.07979,-2.260916,-5.3140707,0.56456596,1.6816306,0.44500306,2.9293602,-1.0130408,0.73278517,1.4903069,-0.17678139,-2.1885397,-0.1294247,3.3926218,0.9100225,0.6771252,0.12044033,2.360023,0.53545034,0.42910007,0.019570699,-0.57927215,-2.8950138,-0.23835687,-2.9245372,-6.045863,-3.7081013,-1.3760828,-2.2416382,-1.5124809,0.77443266,-3.849286,1.6501838,-1.1789762,2.4444516,3.5769744,2.127283,1.7825847,3.5777872,1.2561345,-1.6605691,2.0864472,-4.053455,2.2753508,0.05557463,-0.28726786,0.5416904,-2.3563352,-4.1745605,3.2488987,2.587896,1.2823834,2.7407262,1.7005929,-0.2561987,-1.1529727,0.7905278,-4.115131,-5.4421597,2.2076066,-2.7397437,0.36301616,0.4301964,1.2711672,3.4017498,0.5899414,2.9953516,4.131402,-4.442657,2.2673962,1.476255,-0.202035,-1.2519006,-0.1764397,-0.4695205,0.42346203,-0.2724609,0.21081832,5.279367,-0.35668045,1.7419144,0.6868886,0.939983,-2.685099,-3.366048,3.2679882,0.58800304,1.770555,4.177871,1.7228347,-2.4713907,0.5415018,5.2377496,2.0372922,1.9059336,-0.7412845,-2.9578795,-1.314281,-0.7088676,4.286587,6.395439,-0.17010441,2.9747663
airplane-5795,-44.463127,11.24109,-8.34223,56.01993,3.7253225,-11.623331,-2.3995469,9.70035,-4.846445,-4.234933,-8.897993,0.42182162,-1.9931719,8.081918,6.9383936,-6.298165,0.9221493,6.896807,0.697362,-8.205522,2.7326605,-9.60509,-4.1912017,-8.841221,-7.645223,-8.123057,-3.7191458,10.326107,-8.080066,7.1164646,-7.434104,-0.33206216,9.815724,-12.212681,13.096426,2.2955024,1.7066594,9.514428,0.6920131,1.0785131,0.88996905,0.71962065,-0.32004493,12.310368,-3.541427,7.6580973,6.262352,-6.5364995,-3.662833,10.870568,3.3497798,-8.229255,7.5097814,-8.6884365,-2.3193655,-8.728708,-6.0732293,10.4944,-11.838472,9.432435,-4.880155,-10.240817,-8.281877,10.135447,-4.5411906,6.0463343,-1.729289,2.2865782,3.0914109,4.8089314,-1.151066,-3.094415,0.366162,-4.0311565,3.7577858,0.2687175,-4.297518,-4.7680197,-2.0863543,0.6248488,2.4013348,2.2697175,-1.4112831,-1.301674,-0.33215562,-0.26938546,-0.39390767,-0.5636806,2.2016842,-0.56609505,-1.1968577,0.6283302,0.07730854,1.7563952,-1.5937352,0.7880267,-2.1890228,-2.9618049,0.77118737,-4.1933365,-4.305295,-4.0262322,-0.023350568,-4.2769527,0.48587972,0.98729587,-2.1419973,0.46064052,0.59679717,1.4452213,4.915845,0.60315037,-0.44701356,1.932021,2.3559551,-4.026384,-0.19729671,-3.9874413,0.6281751,0.8515574,1.7076238,0.26225388,-2.5653543,-2.2894268,1.9868134,3.9553118,3.072242,2.4291291,0.62038314,-1.1494735,-0.042844657,-1.2045689,-5.9810038,-4.2817187,0.05665159,-4.690603,2.2331498,-1.5865448,1.2298877,1.3942016,-1.4689789,1.7914567,1.9719119,-4.3673353,0.71681637,1.3044422,-0.9912941,0.9780071,-2.126365,-1.3597454,-1.3477948,0.6204352,-1.9144235,5.2190824,-2.2488697,2.6028836,-1.4109482,1.8874094,-2.9047859,-1.3161947,1.0819262,0.9447402,0.35427687,2.405229,-0.5796174,-3.2116458,0.055013712,3.2043238,-0.26242426,2.6876016,-2.2352185,-4.334622,-1.1407776,0.73893154,5.5413303,4.7317767,1.7021499,2.1634536
airplane-6913,-39.753147,10.15984,-7.5779634,51.866573,3.018637,-8.836731,-3.2908084,10.0497465,-1.4736614,-4.0762486,-7.9677052,-1.1356387,-4.641541,8.32664,8.382283,-5.499228,0.8313948,7.854969,2.0195224,-7.5623393,4.4940724,-8.606931,-1.92209,-9.3949,-5.5072446,-8.247242,-2.257345,8.658817,-7.0303416,4.704485,-4.9599524,0.30566362,8.696938,-9.663006,10.628721,2.7344632,1.22235,8.188567,1.5545207,2.03961,0.64845526,2.3759277,1.1008956,11.810656,-2.7526867,7.023593,7.8467803,-6.2453423,-3.9840991,12.259475,4.637094,-8.862322,8.957231,-7.912583,-1.6239012,-10.3011055,-5.835483,11.591673,-10.650895,10.912705,-3.8186898,-10.975766,-7.0241547,10.5382805,-3.218157,6.5693707,-0.5569968,3.8651657,2.4806721,5.738181,0.11361344,-3.6860645,-0.29780853,-5.6565127,2.247914,-0.24170966,-3.1636574,-5.8369412,-0.31311718,0.4165483,1.4232149,2.949383,-0.43325955,-0.65681165,0.896164,0.48888177,-1.534211,-0.9808152,2.4966657,0.60527015,0.06304626,1.2815546,1.880565,1.7197077,0.2322269,1.3245512,-0.6516914,-1.9394859,-0.6297558,-4.1604233,-6.156869,-4.4223943,-2.1067843,-3.3948684,-1.2913991,1.4854567,-2.8424652,1.6618752,-0.7694359,1.4503852,4.720915,2.0302033,1.243179,3.1375551,1.3634194,-2.4376078,1.3137596,-4.912595,1.6563809,0.99386674,0.58896756,1.2796768,-3.6315768,-4.1049285,3.2258565,3.90325,0.7592503,1.2203088,1.8436704,-1.1468343,-1.1734831,-0.08950013,-5.3912425,-6.057201,1.8028086,-3.770352,0.64648205,-0.92077017,0.67333454,2.6236687,-0.34887576,3.6379097,3.3659456,-3.442256,1.6006341,0.80250794,0.5786934,-0.16991161,-1.172696,-0.8304526,-0.017949874,0.87081724,-0.60185355,5.00138,-0.9051425,2.7490444,0.4765282,1.9781916,-3.4769416,-2.5466049,2.5464144,1.4249691,0.8162769,3.8182411,1.3766781,-3.8114522,1.0132046,4.298655,2.083077,3.3010142,-1.15816,-3.7439678,-0.29675615,-0.5788155,3.858467,5.374733,0.8434728,2.2119865
airplane-8592,-43.718086,12.996543,-6.337786,54.25968,0.13471766,-10.045153,0.2752541,6.598959,-3.024327,-0.6788791,-5.299387,2.5491755,-1.5218467,4.5222263,4.6645446,-4.0541906,-0.50508976,4.5894265,2.8159292,-5.7932253,3.8376088,-7.0422573,-1.5114291,-5.961551,-5.7554264,-5.5254965,-4.834264,7.1537647,-4.981267,6.7643147,-5.6145525,-2.6080155,6.837501,-11.7980585,11.2111,5.6107845,-0.46948653,10.623132,0.10325437,-0.121201485,0.9096041,-1.1794702,-1.1871074,11.40394,-4.8425026,9.39197,5.446362,-5.7602453,-3.3573756,9.997472,2.950208,-7.6375985,6.951303,-7.8273044,-1.2547238,-8.142748,-4.841644,10.622969,-9.857975,9.553568,-3.6886604,-9.6177025,-7.164789,9.116953,-3.0851204,5.079935,-0.9168243,1.9336846,2.7703464,4.0632467,-1.6738992,-2.7501786,-1.4456242,-3.2942345,4.180286,1.8072834,-4.203421,-3.5161204,-1.9662424,2.9574897,2.8664167,2.70489,-2.7001612,-2.423007,-1.3579673,1.08165,1.0828656,0.06279065,0.18983932,0.5231841,-2.6875174,0.39333564,-0.67765385,1.6789774,-1.450567,-0.4462182,-2.7306092,-3.1586952,2.2254636,-5.1779532,-3.584225,-4.206123,1.0020906,-4.361001,0.54434323,2.6027107,-1.3301451,-0.30531287,1.1597873,2.4430196,6.0483627,-0.27210438,-0.757339,3.721224,3.7654362,-3.6485722,-1.4626708,-4.0063376,-0.8146629,0.7127934,2.8356621,-1.0065502,-4.3342423,-1.5777882,0.49920735,4.4612417,3.7697027,1.0900364,0.65269125,-3.307622,1.2141333,-1.5343677,-6.679905,-3.3024852,-0.8609771,-4.2003937,3.1773674,-0.94786435,0.0075646136,0.3798628,-2.225268,2.0549433,0.9564806,-3.8839638,-1.0440532,0.099467516,-1.3902595,2.0884116,-1.9666799,-3.6163046,-2.6998532,0.88528323,-3.0934598,4.823111,-3.4700475,2.161285,-2.4387288,2.0639422,-3.032564,-0.06498676,0.6342666,1.5736825,-0.4635161,1.7271916,-0.7528181,-2.8527822,-1.010711,3.2068067,-0.047151145,4.161893,-3.4362373,-5.0507317,0.609298,0.9405989,5.6754375,4.02519,2.1383827,1.1633754
airplane-14056,-38.637856,13.954773,-7.3907714,54.72478,1.572361,-10.353525,-1.1693918,8.176918,-4.0469775,-2.726104,-7.1953363,1.9670627,-2.046039,6.8608284,5.288857,-5.374277,1.0988226,5.6854367,0.09998985,-6.357734,1.6729736,-8.615022,-3.492778,-7.1842117,-7.9116497,-7.3904176,-3.925801,10.210061,-7.7440295,7.544224,-7.6243834,-0.98830956,10.085099,-11.930289,12.747774,2.1602924,1.5126238,9.2095375,1.2481915,1.2870505,0.31154057,1.5674119,-0.45155936,13.049512,-3.107644,7.5760937,6.9897738,-6.5307093,-4.1905713,11.443551,4.0563397,-8.360725,8.358479,-7.442344,-2.274909,-9.453768,-4.514512,11.479752,-9.3738785,10.56143,-3.240568,-10.134035,-6.3576765,9.620567,-2.3013263,5.673168,-0.0127927065,1.8360785,1.810436,3.823894,-0.3582386,-2.0159495,1.3157537,-4.0323615,2.4426382,1.584166,-2.5819752,-4.2488456,-0.94002527,0.65783095,1.2562087,0.86600906,-0.5645912,-1.8222177,-0.4386684,0.45778736,-0.37170964,0.35956496,1.453953,1.2739806,-0.7696645,-0.40258503,0.6932622,-0.0974379,-0.90058684,-0.35984072,-1.9430006,-3.1510572,0.9151527,-3.3113108,-4.237287,-3.5117679,-0.1974352,-2.641016,0.21168326,0.6092165,-2.0524762,0.97321856,0.14835104,2.5222967,4.551242,1.3466632,-0.116851814,3.7220936,2.6159446,-2.0789008,0.7021891,-4.162163,0.7554838,-0.5087697,0.49641186,-0.6856934,-3.8702059,-3.4926116,1.71567,2.7458243,2.037252,1.1796995,1.6039673,-2.6126335,-0.28182217,-0.52490133,-5.7228904,-4.9042664,1.3366477,-4.1476145,1.8323098,-0.84013987,-0.123129584,1.7282028,-0.936617,2.7673562,2.3471513,-3.8945012,0.81757337,2.020005,-0.41075918,0.22409293,-1.994749,-1.0473359,-1.3401589,-0.041197587,-1.6365637,3.999911,-1.4063843,1.8901811,-0.83302844,1.0271839,-2.7464888,-2.1716418,1.0788729,1.693866,1.7232778,2.3040705,0.053874362,-2.9755278,-0.4771961,3.758476,1.3440095,3.6182637,-1.7272878,-4.3588495,-1.4575181,1.0377631,5.6584516,5.3282433,1.4010772,1.1480926
airplane-14127,-41.093258,9.4761505,-5.558729,49.59673,2.3116398,-7.7476983,-2.9729822,5.7217455,-0.81541127,-2.389004,-4.8083124,0.23241888,-3.900179,4.949745,6.7451124,-3.1969945,-1.3350445,5.706785,2.8458116,-5.5857058,4.8120327,-6.8828764,-0.60231185,-8.214025,-4.3721514,-7.7789564,-2.088991,7.6669855,-6.5665317,4.5192056,-4.3852158,-0.409101,7.326339,-9.80469,10.211623,3.6993713,-0.39592925,8.735931,-0.19216676,2.180314,-0.23784918,1.007962,-0.033851467,11.770159,-2.577663,7.9148073,6.981998,-5.8088465,-4.263069,10.996394,4.5814457,-8.0268345,8.562959,-7.1596904,-1.1779404,-9.61344,-4.762927,11.304072,-10.307702,10.375948,-5.41547,-11.247153,-7.7170725,10.351314,-2.9558957,5.6692066,-0.622879,2.579372,2.749112,5.232789,-0.24864827,-3.6476216,-0.46991724,-5.4427257,2.8578732,-0.66949594,-4.033731,-5.7864456,-0.77790874,0.05323788,1.635358,2.6677165,-0.83084196,-0.67504436,0.71413594,0.859686,-1.2610362,-0.9957428,1.9831908,0.885305,-0.36084855,1.3407152,1.1879879,1.784764,-0.54078263,1.6914846,-1.08995,-1.5173668,-0.5138938,-4.7017703,-5.7465987,-4.9160657,-1.5206031,-3.946197,-0.8027086,2.0832858,-2.4718037,1.4180298,-0.71719193,0.9134746,5.1802707,1.6938636,0.5986857,3.605908,1.6077309,-2.9745815,0.9252346,-5.0858445,1.2767555,1.4863334,1.2800257,0.9096135,-3.8288536,-3.8365848,2.9994905,4.2249746,1.604574,0.9627215,1.96692,-1.7917929,-1.4348843,-0.5591774,-6.0136013,-5.8815327,1.3612072,-4.141727,0.7755294,-1.0845504,0.16454151,2.2586856,-1.0591766,3.9569986,2.900686,-3.0378928,1.3470244,0.4484533,-0.020572562,0.28736255,-0.464421,-1.9138892,-0.2603637,1.2851487,-0.8701604,4.953311,-1.3885506,3.068191,-0.0525914,2.4506917,-3.7118921,-2.189722,2.0956988,1.3676838,0.5585522,3.4706132,1.1526548,-4.298218,1.2548422,3.5064178,1.9362038,3.714298,-1.0789953,-4.4960694,-0.8693046,0.5387476,3.9930997,4.831566,1.1301583,3.2431085
airplane-14176,-7.8755364,7.038805,-2.7427783,48.491486,4.523255,-7.6078506,-2.935675,7.243029,-2.0543756,-4.7135286,-6.6419926,-0.71832407,-4.6310196,6.5817575,7.4393888,-4.8461223,0.111686,7.415223,1.3460454,-8.083583,3.4972894,-8.903268,-2.6150112,-9.025048,-5.896436,-8.445526,-2.946474,9.51101,-7.056701,5.753941,-6.0795293,-0.17107189,8.814597,-10.942386,11.757126,2.4082453,0.754393,9.2401905,1.7434194,-0.32188925,0.5816344,1.7857465,-0.3222125,12.507745,-3.2657576,7.128629,7.0310907,-6.9343348,-2.6516614,12.102342,3.2248023,-9.270497,8.568363,-8.760774,-2.402583,-9.874834,-6.2923584,11.238638,-11.388992,10.278623,-4.943304,-11.210416,-8.066566,10.85082,-4.309535,6.802884,-0.7286757,3.6527007,2.6610625,6.056225,0.12679982,-4.012444,-0.45202586,-5.388476,2.346145,-0.10365675,-3.4216177,-5.6420097,-0.6233493,0.17781028,1.716588,2.92514,-0.32282934,-0.75261456,0.7136488,0.8024218,-1.4542438,-1.1922381,2.092531,1.0220912,-0.2079853,1.5889094,1.574061,1.5975832,-0.06494645,1.3790234,-0.8410537,-1.8488157,-0.64062345,-3.9795704,-5.8346915,-4.514121,-1.706636,-3.4715683,-1.0335499,1.868749,-2.968916,1.5830256,-0.82293403,1.1819094,4.852272,1.9281712,1.2664719,2.3575387,1.2923768,-3.0907907,1.158525,-4.693198,1.5255054,1.2512085,0.88987017,1.5226263,-4.0675874,-3.7369168,2.819107,3.919359,1.0086627,1.3030365,2.0604153,-1.6664202,-1.097944,-0.11795355,-5.5623517,-5.5893764,1.6111636,-4.0417604,0.25756177,-1.2924811,-0.07297142,2.7076046,-0.6109332,3.9880369,3.3784275,-3.440538,1.8589734,0.63355297,0.38473594,0.07896965,-1.4596757,-1.0473471,-0.14989614,1.123686,-0.8278885,4.7641644,-0.8606044,2.8266022,0.025150213,1.910553,-3.701691,-2.3711774,2.3759708,1.546017,0.3270005,3.616002,1.1672192,-3.914296,1.0825963,3.920674,1.9299064,3.7043056,-1.2943784,-4.0856466,0.07860045,-0.39960018,3.6348794,5.030816,0.827845,1.5272213
airplane-15423,-42.65788,10.992075,-5.2183604,49.8673,2.1828337,-8.00347,-2.4985986,5.862672,-1.5852795,-2.898423,-5.9080105,-0.0787179,-3.5412905,5.868453,5.9673896,-4.529614,-0.44309437,6.2111454,1.4989651,-7.086777,3.0843222,-9.470554,-3.4228733,-8.809805,-7.3634024,-7.729878,-3.0653667,8.8949175,-6.828401,5.495153,-5.1903753,-0.23463877,8.529502,-10.350759,11.161816,2.8497052,1.1077443,8.685707,1.7650087,1.5947995,1.1096611,2.089776,0.4016317,12.627809,-3.0242066,6.819962,7.2788644,-7.171359,-2.9593246,12.459234,3.5738585,-9.913752,9.137592,-8.884108,-2.7228487,-9.9221735,-6.6637,11.396665,-10.411255,10.781961,-5.25517,-11.506121,-8.1885195,10.834084,-4.604876,6.9195414,-0.78724426,3.7799006,2.8658807,6.1180277,-0.037107937,-3.7865276,-0.5846062,-5.5038505,2.9221077,-0.6688836,-3.9534416,-5.8175163,-0.74520415,-0.09465228,1.2183799,1.9918921,-0.96552616,-0.46717778,0.5686913,0.9686751,-1.296203,-1.1249641,2.4010592,0.9258102,-0.47912598,1.5169239,1.2865368,2.3015494,-0.37066945,1.3422574,-1.3708466,-1.9073434,-0.49636075,-4.641715,-5.8099627,-4.687167,-1.6725091,-3.558958,-0.6873624,0.56684166,-2.3947246,1.3802882,-0.8026913,0.6110084,5.0576377,1.8201333,0.37484902,3.8621626,1.1387801,-3.1629686,1.0570314,-5.040662,1.5074923,1.5916237,1.085413,1.2532078,-4.021697,-3.8973548,3.1497347,4.348926,1.5822824,1.010671,2.0412686,-1.3773739,-1.3399373,-0.46861383,-5.6459384,-5.9117436,1.6867602,-3.8574016,0.66180414,-1.2032595,0.037491295,2.5167353,-0.92552376,4.0808935,2.9776633,-2.9380672,1.3093079,0.23324673,0.27364495,-0.35795313,-0.40123966,-2.1880276,-0.46437338,0.8953443,-0.7347838,4.251935,-1.2616565,3.4293787,-0.11774543,2.491932,-3.8756156,-2.3050346,2.1699522,1.8244393,0.18419695,3.3955204,1.3266485,-4.2331758,1.5082879,3.4525168,1.9953852,3.8429697,-1.070929,-4.452859,-0.11355494,-0.31399772,3.8880148,4.8768144,0.99228936,3.4725518
